NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,gs,yearb,Nb_CScomplex_inArticle,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,SimplifiedName,ncbi,mito,dna,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,Geo_dif3,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric,Repro_invest,Larv_type,shallow
Raymunida spp.,NA,Raymunida,Malacostraca,Arthropoda,Raymunida,"Macpherson, E; Machordom, A",2001,"Phylogenetic relationships of species of Raymunida (Decapoda : Galatheidae) based on morphology and mitochondrial cytochrome oxidase sequences, with the recognition of four new species",JOURNAL OF CRUSTACEAN BIOLOGY,21,696,714,mtDNA,5,Diagnostic,Sympatric,NA,NA,TRUE,6,6,6,6,Indo-Pacific,NA,NA,unknown,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,Sympatric,FALSE,FALSE,TRUE,Arthropoda_Malacostraca,Y,I,Y,Y,FALSE,TRUE,NA,NA,FALSE
Rhynchozoon sp.,NA,Rhynchozoon,Gymnolaemata,Bryozoa,Rhynchozoon,"Dick, MH; Mawatari, SF",2005,"Morphological and molecular concordance of Rhynchozoon clades (Bryozoa, Cheilostomata) from Alaska",INVERTEBRATE BIOLOGY,124,344,354,mtDNA,2,Statistic,Sympatric,NA,NA,TRUE,7,2,7,2,Pacific,NA,NA,"Rocky shore, Intertidal or tide pools","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,Sympatric,FALSE,TRUE,FALSE,Bryozoa_Gymnolaemata,Y,I,N,N,TRUE,TRUE,NA,NA,TRUE
Sabatieria sp.,NA,Sabatieria,Chromadorea,Nematoda,Sabatieria,"Hauquier, F; Leliaert, F; Rigaux, A; Derycke, S; Vanreusel, A",2017,Distinct genetic differentiation and species diversification within two marine nematodes with different habitat preference in Antarctic sediments,BMC EVOLUTIONARY BIOLOGY,17,NA,NA,"mtDNA, ITS",4,Diagnostic,Sympatric,NA,NA,TRUE,326,5,326,5,antarctica,No species name ever given here,Direct development,Soft sediment,Demersal or benthic,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic",TRUE,NA,Sediment,Average,Very low or null,Demersal or benthic,Sympatric,FALSE,FALSE,TRUE,Nematoda_Chromadorea,N,I,N,Y,FALSE,TRUE,HIGH,DD,TRUE
Sabellastarte spp.,NA,Sabellastarte,Polychaeta,Annelida,Sabellastarte,"Capa, Maria; Bybee, David R.; Bybee, Seth M.",2010,"Establishing species and species boundaries in Sabellastarte Kroyer, 1856 ( Annelida: Sabellidae): an integrative approach",ORGANISMS DIVERSITY & EVOLUTION,10,351,371,mtDNA,2,No differentiation,Allopatric,NA,NA,NA,41,18,41,18,Global,NA,Lecithotrophic,Coral reef,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,Allopatric,TRUE,FALSE,FALSE,Annelida_Polychaeta,N,B,N,N,TRUE,FALSE,HIGH,LT,FALSE
Saccoglossus spp.,NA,Saccoglossus,Enteropneusta,Hemichordata,Saccoglossus,"KING, GM; GIRAY, C; KORNFIELD, I",1995,"BIOGEOGRAPHICAL, BIOCHEMICAL AND GENETIC DIFFERENTIATION AMONG NORTH-AMERICAN SACCOGLOSSIDS (HEMICHORDATA, ENTEROPNEUSTA, HARRIMANIIDAE)",Marine Biology,123,369,377,"mtDNA, Allozymes",2,NA,Allopatric,NA,NA,NA,20,2,NA,NA,Atlantic,NA,Lecithotrophic,"Soft sediment, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Sediment,Accessible,NA,Demersal or benthic,Allopatric,NA,NA,NA,Hemichordata_Enteropneusta,N,E,N,N,NA,FALSE,HIGH,LT,FALSE
Sadayoshia spp.,NA,Sadayoshia,Malacostraca,Arthropoda,Sadayoshia,"Macpherson, Enrique; Baba, Keiji",2012,"The squat lobsters of the genus Sadayoshia Baba, 1969 (Crustacea: Decapoda: Anomura: Munididae): new records including six new species from the Pacific Ocean",ZOOTAXA,NA,30,48,"mtDNA, 18S, 28S, histones , other nuclear (other papers Later than 2015:(unclear whether confirms CS but mol phylogeny)",6,Diagnostic,"Allopatric, Sympatric",NA,NA,TRUE,NA,NA,NA,NA,Indo-Pacific,Molecular data listed as being in prep. Larval info and adult habitat info should be found elsewhere.,NA,unknown,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"unknown,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,FALSE,TRUE,Arthropoda_Malacostraca,Y,I,Y,Y,FALSE,TRUE,NA,NA,FALSE
Sirsoe spp.,NA,Sirsoe,Polychaeta,Annelida,Sirsoe,"Shimabukuro, M; Carrerette, O; Alfaro-Lucas, JM; Rizzo, AE; Halanych, KM; Sumida, PYG",2019,"Diversity, Distribution and Phylogeny of Hesionidae (Annelida) Colonizing Whale Falls: New Species of Sirsoe and Connections Between Ocean Basins",FRONTIERS IN MARINE SCIENCE,6,NA,NA,mtDNA,11,NA,"Allopatric, Sympatric",NA,Yes,TRUE,86,5,86,5,"SW Atlantic, Pacific",NA,Pelagic,"Deep sea, Whale fall, vent, seep, methan hydrate, according to species (described in this paper)",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Deep sea, Whale fall, vent, seep, methan hydrate, according to species (described in this paper),NA",FALSE,1,NA,Inaccessible,NA,NA,"Sympatric, Allopatric",NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,TRUE,NA,NA,FALSE
Sirsoe balaenophila,NA,Sirsoe,Polychaeta,Annelida,Sirsoe,"Shimabukuro, M; Carrerette, O; Alfaro-Lucas, JM; Rizzo, AE; Halanych, KM; Sumida, PYG",2019,"Diversity, Distribution and Phylogeny of Hesionidae (Annelida) Colonizing Whale Falls: New Species of Sirsoe and Connections Between Ocean Basins",FRONTIERS IN MARINE SCIENCE,6,NA,NA,mtDNA,4,NA,"Allopatric, Sympatric",NA,NA,NA,49,5,49,5,"SW Atlantic, Pacific","new species described, also recorded as genus (wider scope)",Pelagic,"Deep sea, Whale falls",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Deep sea, Whale falls,NA",FALSE,1,NA,Inaccessible,NA,NA,"Sympatric, Allopatric",NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,TRUE,NA,NA,FALSE
Sotalia spp.,NA,Sotalia,Mammalia,Chordata,Sotalia,"Cunha, HA; da Silva, VMF; Lailson-Brito, J; Santos, MCO; Flores, PAC; Martin, AR; Azevedo, AF; Fragoso, ABL; Zanelatto, RC; Sole-Cava, AM",2005,Riverine and marine ecotypes of Sotalia dolphins are different species,MARINE BIOLOGY,148,449,457,"mtDNA, other nuclear",2,Statistic,Parapatric,Yes,NA,TRUE,56,21,NA,NA,"Atlantic,West Atlantic, Caribbean, continental South America, continental central America",NA,"Pelagic, Coastal, riverine","Pelagic, Coastal","Pelagic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic, Coastal,Pelagic, Coastal",FALSE,1000,NA,Average,High,Pelagic,Allopatric,FALSE,TRUE,FALSE,Chordata_Mammalia,Y,I,Y,Y,TRUE,FALSE,NA,NA,FALSE
Squatinia spp.,NA,Squatina,Elasmobranchii,Chordata,Squatina,"SOLECAVA, AM; LEVY, JA",1987,BIOCHEMICAL-EVIDENCE FOR A 3RD SPECIES OF ANGEL SHARK OFF THE EAST-COAST OF SOUTH-AMERICA,Biochemical Systematics and Ecology,15,139,144,Allozymes,3,Diagnostic,Sympatric,NA,NA,TRUE,50,NA,47,NA,Atlantic,NA,NA,Pelagic,Pelagic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,1000,NA,Average,High,Pelagic,Sympatric,FALSE,FALSE,TRUE,Chordata_Elasmobranchii,Y,I,Y,Y,FALSE,TRUE,NA,NA,FALSE
Synalpheus spp.,NA,Synalpheus,Malacostraca,Arthropoda,Synalpheus,"Hultgren, Kristin M.; Hurt, Carla; Anker, Arthur",2014,Phylogenetic relationships within the snapping shrimp genus Synalpheus (Decapoda: Alpheidae),MOLECULAR PHYLOGENETICS AND EVOLUTION,77,116,125,mtDNA,20,NA,"Allopatric, Sympatric",NA,NA,NA,76,13,NA,NA,"Caribbean, Indo-Pacific","Putative CS only, identified on the basis of reciprocal monophyly in COI. Larval information not given here.",NA,Coral reef,Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Arthropoda_Malacostraca,Y,I,Y,Y,NA,TRUE,NA,NA,FALSE
Taenioides spp.,NA,Taenioides,Actinopterygii,Chordata,Taenioides,"Kurita, Takaki; Yoshino, Tetsuo",2012,"Cryptic Diversity of the Eel Goby, Genus Taenioides (Gobiidae: Amblyopinae), in Japan",ZOOLOGICAL SCIENCE,29,538,545,mtDNA,4,Statistic,Sympatric,NA,NA,TRUE,134,8,133,8,Pacific,larval info not given,NA,"Soft sediment, Coastal, Estuarine, mangroves","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Estuarine, mangroves,Demersal or benthic, Coastal",TRUE,10,Sediment,Average,NA,Demersal or benthic,Sympatric,FALSE,TRUE,FALSE,Chordata_Actinopterygii,Y,E,Y,N,TRUE,TRUE,NA,NA,TRUE
Tenellia spp.,NA,Tenellia,Gastropoda,Mollusca,Tenellia,"Fritts-Penniman, AL; Gosliner, TM; Mahardika, GN; Barber, PH",2020,Cryptic ecological and geographic diversification in coral-associated nudibranchs,MOLECULAR PHYLOGENETICS AND EVOLUTION,144,NA,NA,"mtDNA, other nuclear",NA,NA,"Allopatric, Sympatric",Yes,NA,TRUE,50,20,NA,NA,"Indian, Pacific ocean",There are pairs  of CS on distinct hosts,NA,Coral reef,"Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic, Coastal",TRUE,10,NA,Average,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,TRUE,NA,NA,FALSE
Terebellides spp.,NA,Terebellides,Polychaeta,Annelida,Terebellides,"Nygren, A; Parapar, J; Pons, J; Meissner, K; Bakken, T; Kongsrud, JA; Oug, E; Gaeva, D; Sikorski, A; Johansen, RA; Hutchings, PA; Lavesque, N; Capa, M",2018,A mega-cryptic species complex hidden among one of the most common annelids in the North East Atlantic,PLOS ONE,13,NA,NA,"mtDNA, other nuclear, ITS, the nuclear is 28S",NA,NA,"Allopatric, Sympatric",No,NA,TRUE,NA,513,133,NA,"North Atlantic, Arctic, White Sea, North Sea",NA,Planktotroph,Soft sediment,"Demersal or benthic, tube-dwelling",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic, tube-dwelling",TRUE,NA,Sediment,Average,NA,Demersal or benthic,"Sympatric, Allopatric",NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,TRUE,LOW,PT,FALSE
Thenus spp.,NA,Thenus,Malacostraca,Arthropoda,Thenus,"Burton, T. E.; Davie, P. J. F.",2007,"A revision of the shovel-nosed lobsters of the genus Thenus (Crustacea : Decapoda : Scyllaridae), with descriptions of three new species",ZOOTAXA,NA,1,38,"mtDNA, Allozymes",5,Statistic,"Allopatric, Sympatric",NA,NA,TRUE,100,11,119,11,Indo-Pacific,NA,Planktotroph,"Soft sediment, Coastal","Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal,Demersal or benthic, Coastal",TRUE,25,Sediment,Average,NA,Demersal or benthic,"Sympatric, Allopatric",FALSE,TRUE,FALSE,Arthropoda_Malacostraca,Y,I,Y,Y,TRUE,TRUE,LOW,PT,TRUE
Trimma group-F,NA,Trimma,Actinopterygii,Chordata,Trimma,"Winterbottom, Richard; Hanner, Robert H.; Burridge, Mary; Zur, Margaret",2014,"A cornucopia of cryptic species - a DNA barcode analysis of the gobiid fish genus Trimma (Percomorpha, Gobiiformes)",ZOOKEYS,NA,79,111,mtDNA,2,NA,Allopatric,NA,NA,NA,4,3,NA,NA,Indo-Pacific,NA,Unknown,Coral reef,Demersal or benthic,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,Allopatric,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE,LOW,PT,FALSE
Turritopsis,NA,Turritopsis,Hydrozoa,Cnidaria,Turritopsis,"Miglietta, M. P.; Piraino, S.; Kubota, S.; Schuchert, P.",2007,"Species in the genus Turritopsis (Cnidaria, Hydrozoa): a molecular evaluation",JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,45,11,19,mtDNA,7,NA,"Allopatric, one case probably introduced (Mediterranean=Japan)",NA,NA,NA,25,16,NA,NA,"worldwide (Mediterranean, Japan, USA, Australia, NZ), Pacific, Atlantic","If needed, find data on larval stages (but since adults have medusae it may not be necessary)",NA,Coastal,"Pelagic, medusae...and also colonial (polyps, pobly sessile)",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Coastal,Pelagic, medusae...and also colonial (polyps, pobly sessile)",FALSE,1000,NA,Average,High,Pelagic,Allopatric,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,FALSE,NA,NA,FALSE
Tursiops spp.,NA,Tursiops,Mammalia,Chordata,Tursiops,"Moeller, Luciana M.; Kerstin, Bilgmann; Charlton-Robb, Kate; Beheregaray, Luciano",2008,Multi-gene evidence for a new bottlenose dolphin species in southern Australia,MOLECULAR PHYLOGENETICS AND EVOLUTION,49,674,681,"mtDNA, microsatellites",2,NA,"Allopatric, Sympatric",NA,NA,TRUE,78,11,NA,NA,Indo-Pacific,NA,"Pelagic, viviparous",Pelagic,Pelagic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,1000,NA,Average,High,Pelagic,"Sympatric, Allopatric",NA,NA,NA,Chordata_Mammalia,Y,I,Y,Y,NA,TRUE,HIGH,DD,FALSE
Vrijenhoekia spp.,NA,Vrijenhoekia,Polychaeta,Annelida,Vrijenhoekia,"Summers, Mindi; Pleijel, Fredrik; Rouse, Greg W.",2015,"Whale falls, multiple colonisations of the deep, and the phylogeny of Hesionidae (Annelida)",INVERTEBRATE SYSTEMATICS,29,105,123,"mtDNA, other nuclear",6,No differentiation,"Allopatric, Sympatric",NA,NA,TRUE,57,6,NA,NA,Eastern Pacific,NA,NA,"Soft sediment, Deep sea, whale fall",Demersal or benthic,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Deep sea, whale fall,Demersal or benthic",TRUE,100,Sediment,Inaccessible,NA,Demersal or benthic,"Sympatric, Allopatric",TRUE,FALSE,FALSE,Annelida_Polychaeta,N,B,N,N,TRUE,TRUE,NA,NA,FALSE
Xestospongia spp.,NA,Xestospongia,Demospongiae,Porifera,Xestospongia,"Swierts, T; Peijnenburg, KTCA; de Leeuw, CA; Breeuwer, JAJ; Cleary, DFR; de Voogd, NJ",2017,Globally intertwined evolutionary history of giant barrel sponges,CORAL REEFS,36,933,945,"mtDNA, other nuclear",8,NA,"Allopatric, Sympatric",NA,NA,TRUE,300,17,NA,NA,"World, Indian, Pacific, Atlantic Oceans",NA,NA,NA,sessile,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"NA,sessile",FALSE,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,Porifera_Demospongiae,Y,E,N,N,NA,TRUE,NA,NA,FALSE
Xiphopenaeus,NA,Xiphopenaeus,Malacostraca,Arthropoda,Xiphopenaeus,"Carvalho-Batista, A; Terossi, M; Zara, FJ; Mantelatto, FL; Costa, RC",2019,"A multigene and morphological analysis expands the diversity of the seabod shrimp Xiphopenaeus Smith, 1869 (Decapoda: Penaeidae), with descriptions of two new species",SCIENTIFIC REPORTS,9,NA,NA,mtDNA,4,NA,Allopatric,NA,NA,NA,NA,17,NA,NA,"Atlantic, Pacific",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA,NA",FALSE,NA,NA,NA,NA,NA,Allopatric,NA,NA,NA,Arthropoda_Malacostraca,Y,I,Y,Y,NA,FALSE,NA,NA,TRUE
Cordylophora spp.,NA,Cordylophora,Hydrozoa,Cnidaria,Cordylophora,"Folino-Rorem, Nadine C.; Darling, John A.; D'Ausilio, Cori A.",2009,Genetic analysis reveals multiple cryptic invasive species of the hydrozoan genus Cordylophora,BIOLOGICAL INVASIONS,11,1869,1882,mtDNA,2,NA,Allopatric,No,NA,NA,43,10,NA,NA,Global,The paper talks about both freshwater and brackish clades; I have focused here only on lineage 2 (2a and 2b) which are the brackish ones. Habitat info not given.,Direct development,Coastal,"Demersal or benthic, Coastal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal,Demersal or benthic, Coastal",TRUE,25,NA,Average,Very low or null,Demersal or benthic,Allopatric,NA,NA,NA,NA_NA,NA,NA,NA,NA,NA,FALSE,HIGH,DD,FALSE
Hesionidae sp. A,NA,NA,Polychaeta,Annelida,Hesionidae,"Brasier, MJ; Wiklund, H; Neal, L; Jeffreys, R; Linse, K; Ruhl, H; Glover, AG",2016,DNA barcoding uncovers cryptic diversity in 50% of deep-sea Antarctic polychaetes,ROYAL SOCIETY OPEN SCIENCE,3,NA,NA,mtDNA,2,NA,NA,NA,NA,NA,24,NA,24,NA,"Antarctic, Southern Ocean",NA,Unknown,deep antarctic benthos,Demersal or benthic,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"deep antarctic benthos,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,NA,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,NA,NA,NA,FALSE
Velutinidae,NA,NA,Gastropoda,Mollusca,Velutinidae,"Fassio, G; Modica, MV; Alvaro, MC; Buge, B; Salvi, D; Oliverio, M; Schiaparelli, S",2019,An Antarctic flock under the Thorson's rule: Diversity and larval development of Antarctic Velutinidae (Mollusca: Gastropoda),MOLECULAR PHYLOGENETICS AND EVOLUTION,132,1,13,"mtDNA, other nuclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antarctic Southern Ocean,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA,NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,NA,NA,NA,FALSE
Pallenella,NA,NA,Pycnogonida,Arthropoda,Pallenella,"Brenneis, G; Arango, CP; Sharma, PP; Schwentner, M",2020,The more the merrier: unparalleled sympatric species richness in a sea spider genus (Pycnogonida:Callipallenidae:Pallenella) from Tasmanian waters,INVERTEBRATE SYSTEMATICS,34,837,870,"mtDNA, ITS",NA,NA,Sympatric,NA,NA,TRUE,13,1,13,1,"Tasmania, Pacific Ocean","apparently all in similar microhabitat (bryozoans), not sure we can tell it has ecological data but I sicked it",NA,Coastal,Coastal,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Coastal,Coastal",FALSE,NA,NA,Average,NA,NA,Sympatric,NA,NA,NA,Arthropoda_Pycnogonida,Y,E,N,N,NA,TRUE,NA,NA,FALSE
Rhabditis (P.) marina,Litoditis marina,Litoditis,Chromadorea,Nematoda,Rhabditis,"Derycke, S.; Remerie, T.; Backeljau, T.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2008,"Phylogeography of the Rhabditis (Pellioditis) marina species complex: evidence for long-distance dispersal, and for range expansions and restricted gene flow in the northeast Atlantic",MOLECULAR ECOLOGY,17,3306,3322,"mtDNA,ITS,Single Strand Conformation Polymorphisms,other nuclear,28S (other papers: Derycke 2008,2010 and 2012,etc.),LSU,SSU RIBOSOMAL DNA",10,Diagnostic,Sympatric,Yes,NA,TRUE,1362,45,7,#NOM?,"Atlantic,Global,North Sea,Atlantic (cultures from the laboratory in Netherlands),Antarctic,Shetland Islands","NA,NA,Information about genetics and morphology is elsewhere; this is an experiment done to test competitive exclusion in CS.,experimental study , CS already well studied and recognized,species delimitation analysis was performed with the Poisson Tree Processes (PTP) ;Morphology: to determine if there were any significant differences between them. This was done using one-way ANOVA for each of the measures taken:
length, maximum width, oesophageal length, tail length and the De Man ratios a, b and c","Direct development,Direct development,Direct development,NA,NA","Soft sediment,Coastal,Estuarine,Intertidal or tide pools","Demersal or benthic,Coastal,interstitial (more or less burried)",1,2011,1,FALSE,TRUE,FALSE,TRUE,FALSE,2,Litoditis marina,TRUE,FALSE,nuc,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Soft sediment,Coastal,Estuarine,Intertidal or tide pools,Demersal or benthic,Coastal,interstitial (more or less burried)",TRUE,10,Sediment,Accessible,Very low or null,Demersal or benthic,Sympatric,FALSE,FALSE,TRUE,Nematoda_Chromadorea,N,I,N,Y,FALSE,TRUE,HIGH,DD,FALSE
Mugil cephalus,Mugil cephalus,Mugil,Actinopterygii,Chordata,Mugil,"Durand, Jean-Dominique; Borsa, Philippe",2015,Mitochondrial phylogeny of grey mullets (Acanthopterygii: Mugilidae) suggests high proportion of cryptic species,COMPTES RENDUS BIOLOGIES,338,266,277,mtDNA,36,No differentiation,"Allopatric,Sympatric,Parapatric",NA,NA,NA,323,28,#NOM?,#NOM?,"Global,Atlantic Ocean,Mediterranean Sea,Pacific Ocean,pacific,global,Taiwan","Data from nuclear markers are not in this paper. Data from morphology are not in this paper. No new data generated for this paper - this is a systematic revision of the family (several genera) based on previously existing genetic data and previously known lack of morphological differences. Need more detail about adult and larval habitat types. Need to go back to source material for info about the sampling (sites and individuals).,NA,NA,complex previously described,NA","Planktotroph,NA,Not sure - need to look up elsewhere,Not sure - need to look up elsewhere,NA","Pelagic,Coastal,NA","Pelagic,Coastal,NA",19,1758,1,FALSE,TRUE,TRUE,TRUE,FALSE,3,Mugil cephalus,TRUE,TRUE,nuc&mito,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Coastal,NA,Pelagic,Coastal,NA",FALSE,1000,NA,Average,High,Pelagic,"Sympatric, Allopatric",TRUE,FALSE,FALSE,Chordata_Actinopterygii,Y,E,Y,N,TRUE,TRUE,LOW,PT,FALSE
