"NameBeforeCor","acceptedName_wormsV1","genus_wormsV1","class_wormsV1","phylum_wormsV1","Timestamp","Article.ID.number","PremierNom","Article_authors","Article_year","Article_title","Article_journal","Article_vol","Article_start.Page","Article_end.Page","OLD_Nb_CScomplex_inArticle","OLD_nb_RemainingArticles","OLD_nb_RemovedArticles","Group_survey","MainDataType","GeneticMarker","Nb_CS","Morpho_diff","relativeDistribution","Eco_diff","Repro_diff","RIOK","Nig","Nsg","Nim","Nsm","Region","Comments","Larva","Habitat","adultDispersal","SpeciesName","acceptedName_wormsOLD","genus_wormsOLD","class_wormsOLD","phylum_wormsOLD","KeepFATE","acceptedName_worms","gs","yearb","genus_worms","class_worms","phylum_worms","Nb_CScomplex_inArticle","nb_RemainingArticles","nb_RemovedArticles","nb_art","nb_Articles_per_sp","orig_Nig","orig_Nsg","orig_Nim","orig_Nsm","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","SimplifiedName","ncbi","mito","dna","Geo_diff","larv.pktro","larv.leci","larv.dd","larv.pel","larva","Hpelagic","Hcoastal","Hcoralreef","Hdeepsea","Hintertidal","Hseagrass","Hestuarine","Hcave","adultbenthic","adultpelagic","HabAdu","Demersal","HKKv2","HKKv3","Hsubstrate","HDifAccess","Dispers","DispAdult","noNeedTaxonSearch"
"Ligia hawaiensis",NA,"Ligia","Malacostraca","Arthropoda","6/16/2023 11:18:06",268,"Ligia","Santamaria, CA",2019,"Molecular taxonomy of endemic coastal Ligia isopods from the Hawaiian Islands: re-description of L. hawaiensis and description of seven novel cryptic species","PEERJ",7,NA,NA,NA,NA,0,"Arthropoda","Genetic, Morphological","mtDNA, other nuclear",9,NA,"Allopatric, ""largely allopatric"" but some on the same islet",NA,NA,NA,"191","30",NA,NA,"Hawai, Pacific",NA,"Demersal or benthic, Coastal","Intertidal or tide pools","Demersal or benthic","Ligia hawaiensis",NA,NA,NA,NA,"other",NA,NA,NA,"Ligia","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"191","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Intertidal or tide pools,Demersal or benthic",TRUE,"5","5",NA,"Easy",NA,"Demersal or benthic",NA
"Limnoria nagatai",NA,"Limnoria","Malacostraca","Arthropoda","5/14/2023 20:16:26",118,"Limnoria","Yoshino, H; Yamaji, F; Ohsawa, TA",2018,"Genetic structure and dispersal patterns in Limnoria nagatai (Limnoriidae, Isopoda) dwelling in non-buoyant kelps, Eisenia bicyclis and E. arborea, in Japan","PLOS ONE",13,NA,NA,NA,NA,0,"Arthropoda","Genetic, Morphological","mtDNA",2,"Diagnostic","Allopatric",NA,NA,TRUE,"106","14","106","14","pacific, Japan",NA,"Direct development","Coastal, Kelp forest","Demersal or benthic, Coastal","Limnoria nagatai",NA,NA,NA,NA,"other",NA,NA,NA,"Limnoria","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"106","14","106","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Kelp forest,Demersal or benthic, Coastal",TRUE,"25","25",NA,"Normal","Very low or null","Demersal or benthic",NA
"Lineus ruber/viridis",NA,"Lineus","Pilidiophora","Nemertea",NA,NA,"Lineus","ROGERS, AD; THORPE, JP; GIBSON, R",1995,"GENETIC-EVIDENCE FOR THE OCCURRENCE OF A CRYPTIC SPECIES WITH THE LITTORAL NEMERTEANS LINEUS RUBER AND L-VIRIDIS (NEMERTEA, ANOPLA)","MARINE BIOLOGY",122,"305","316",1,1,0,"Nemertea","Genetic, Morphological","Allozymes",3,"Statistic","Sympatric",NA,NA,TRUE,"773","14","773","14","Atlantic",NA,"Direct development","Soft sediment, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Lineus spp.",NA,NA,"Pilidiophora","Nemertea","other",NA,NA,NA,"Lineus","Pilidiophora","Nemertea",1,NA,NA,NA,NA,"773","14","773","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,"5","5","Sediment","Easy","Very low or null","Demersal or benthic",NA
"Liopetrolisthes spp.",NA,"Liopetrolisthes","Malacostraca","Arthropoda",NA,NA,"Liopetrolisthes","WEBER, LI; GALLEGUILLOS, R",1991,"MORPHOMETRIC AND ELECTROPHORETIC EVIDENCES FOR 2 SPECIES OF THE GENUS LIOPETROLISTHES (CRUSTACEA, DECAPODA, PORCELLANIDAE) AND SOME ASPECTS OF THEIR VARIABILITY","Comparative Biochemistry and Physiology Part B: Comparative Biochemistry",100,"201","207",1,1,0,"Arthropoda","Genetic, Morphological","Allozymes",2,"Statistic","Sympatric",NA,NA,TRUE,"160","1","160","1","Pacific",NA,NA,"Coastal, unknown","Demersal or benthic, Coastal","Liopetrolisthes spp.",NA,NA,"Malacostraca","Arthropoda","other",NA,NA,NA,"Liopetrolisthes","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"160","1","160","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, unknown,Demersal or benthic, Coastal",TRUE,"25","25",NA,"Normal",NA,"Demersal or benthic",NA
"Lithophaga spp.",NA,"Lithophaga","Bivalvia","Mollusca",NA,NA,"Lithophaga","Mokady, O; Rozenblatt, S; Graur, D; Loya, Y",1994,"Coral-host specificity of Red Sea Lithophaga bivalves: interspecific and intraspecific variation in 12S mitochondrial ribosomal RNA.","Molecular Marine Biology and Biotechnology",3,"158","164",1,1,0,"Mollusca","Genetic, Ecological","mtDNA",6,NA,"Sympatric","Yes",NA,TRUE,"13","1",NA,NA,"Red Sea",NA,NA,"Coral reef","Demersal or benthic","Lithophaga spp.",NA,NA,"Bivalvia","Mollusca","other",NA,NA,NA,"Lithophaga","Bivalvia","Mollusca",1,NA,NA,NA,NA,"13","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,"10","10",NA,"Normal",NA,"Demersal or benthic",NA
"Litoditis",NA,"Litoditis","Chromadorea","Nematoda","4/26/2023 4:59:14",202,"Litoditis","Lee, MR; Canales-Aguirre, CB; Nunez, D; Perez, K; Hernandez, CE; Brante, A",2017,"The identification of sympatric cryptic free-living nematode species in the Antarctic intertidal","PLOS ONE",12,NA,NA,NA,NA,0,"Nematoda","Genetic, Morphological, Ecological","other nuclear, 18S, 28S",2,"Statistic","Sympatric","No",NA,TRUE,"9","2",NA,NA,"Antarctic, Shetland islands",NA,NA,"Soft sediment, Intertidal or tide pools","Demersal or benthic","Litoditis",NA,NA,NA,NA,"other",NA,NA,NA,"Litoditis","Chromadorea","Nematoda",4,NA,NA,NA,NA,"9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Intertidal or tide pools,Demersal or benthic",TRUE,"5","5","Sediment","Easy",NA,"Demersal or benthic",NA
"Lobiger spp.",NA,"Lobiger","Gastropoda","Mollusca","4/25/2023 16:14:58",193,"Lobiger","Berriman, JS; Ellingson, RA; Awbrey, JD; Rico, DM; Valdes, AA; Wilson, NG; Aguilar, A; Herbert, DG; Hirano, YM; Trowbridge, CD; Krug, PJ",2018,"A biting commentary: Integrating tooth characters with molecular data doubles known species diversity in a lineage of sea slugs that consume killer algae","MOLECULAR PHYLOGENETICS AND EVOLUTION",126,"356","370",NA,NA,0,"Mollusca","Genetic, Morphological","mtDNA, other nuclear",5,NA,NA,"Yes",NA,TRUE,"12",NA,NA,NA,NA,NA,NA,"Seagrass","Demersal or benthic, Coastal","Lobiger",NA,NA,NA,NA,"other",NA,NA,NA,"Lobiger","Gastropoda","Mollusca",2,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Seagrass,Demersal or benthic, Coastal",TRUE,"10","10",NA,"Normal",NA,"Demersal or benthic",NA
"Lunella spp",NA,"Lunella","Gastropoda","Mollusca",NA,NA,"Lunella","Williams, Suzanne; Apte, Deepak; Ozawa, Tomowo; Kaligis, Fontje; Nakano, Tomoyuki",2011,"SPECIATION AND DISPERSAL ALONG CONTINENTAL COASTLINES AND ISLAND ARCS IN THE INDO-WEST PACIFIC TURBINID GASTROPOD GENUS LUNELLA","EVOLUTION",65,"1752","1771",1,1,0,"Mollusca","Genetic","mtDNA, other nuclear",8,NA,"Allopatric",NA,NA,NA,"229","20",NA,NA,"Indo-Pacific",NA,"Lecithotrophic","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Lunella spp",NA,NA,"Gastropoda","Mollusca","other",NA,NA,NA,"Lunella","Gastropoda","Mollusca",1,NA,NA,NA,NA,"229","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,"5","5","Rocky","Easy",NA,"Demersal or benthic",NA
"Lytocarpia latecarinata",NA,"Lytocarpia","Hydrozoa","Cnidaria","7/14/2023 11:14:22",61,"Lytocarpia","Moura, CJ; Lessios, H; Cortes, J; Nizinski, MS; Reed, J; Santos, RS; Collins, AG",2018,"Hundreds of genetic barcodes of the species-rich hydroid superfamily Plumularioidea (Cnidaria, Medusozoa) provide a guide toward more reliable taxonomy","SCIENTIFIC REPORTS",8,NA,NA,NA,NA,0,"Cnidaria","Genetic","mtDNA",2,NA,"Atlantic",NA,NA,NA,"5","5",NA,NA,"global","There's more details about sites and allopatry in the supp info but this paper has 76 CS and i'm not going to extract all the info right now - I don't think we need it for this first paper","Lecithotrophic","Coastal, epiphytic on Sargassum","Demersal or benthic","Lytocarpia latecarinata",NA,NA,NA,NA,"other",NA,NA,NA,"Lytocarpia","Hydrozoa","Cnidaria",29,NA,NA,NA,NA,"5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, epiphytic on Sargassum,Demersal or benthic",TRUE,"25","25",NA,"Normal",NA,"Demersal or benthic",NA
"Macellicephala sp. A",NA,"Macellicephala","Polychaeta","Annelida","6/15/2023 2:54:08",249,"Macellicephala","Brasier, MJ; Wiklund, H; Neal, L; Jeffreys, R; Linse, K; Ruhl, H; Glover, AG",2016,"DNA barcoding uncovers cryptic diversity in 50% of deep-sea Antarctic polychaetes","ROYAL SOCIETY OPEN SCIENCE",3,NA,NA,NA,NA,0,"Annelida","Genetic, Morphological","mtDNA",2,NA,NA,NA,NA,NA,"12",NA,"12",NA,"Antarctic, Southern Ocean",NA,"Unknown","deep antarctic benthos","Demersal or benthic","Macellicephala A",NA,NA,NA,NA,"other",NA,NA,NA,"Macellicephala","Polychaeta","Annelida",7,NA,NA,NA,NA,"12",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"deep antarctic benthos,Demersal or benthic",TRUE,"25","",NA,"Normal",NA,"Demersal or benthic",NA
"Macrostylis spp.",NA,"Macrostylis","Malacostraca","Arthropoda","6/20/2023 9:11:33",36,"Macrostylis","Bober, S; Riehl, T; Henne, S; Brandt, A",2018,"New Macrostylidae (Isopoda) from the Northwest Pacific Basin described by means of integrative taxonomy with reference to geographical barriers in the abyss","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",182,"549","603",NA,NA,0,"Arthropoda","Genetic, Morphological","mtDNA",NA,"No differentiation","Sympatric",NA,NA,NA,"50","11","17","10","Pacific Ocean",NA,NA,"Soft sediment, Deep sea",NA,"Macrostylis",NA,NA,NA,NA,"other",NA,NA,NA,"Macrostylis","Malacostraca","Arthropoda",1,NA,NA,NA,NA,"50","11","17","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Soft sediment, Deep sea,NA",FALSE,"","","Sediment","Difficult",NA,NA,NA
"Macrourus spp.",NA,"Macrourus","Actinopterygii","Chordata",NA,NA,"Macrourus","Smith, P. J.; Steinke, D.; McMillan, P. J.; Stewart, A. L.; McVeagh, S. M.; Diaz de Astarloa, J. M.; Welsford, D.; Ward, R. D.",2011,"DNA barcoding highlights a cryptic species of grenadier Macrourus in the Southern Ocean","JOURNAL OF FISH BIOLOGY",78,"355","365",1,1,0,"Fish","Genetic, Morphological","mtDNA",2,"Statistic","Sympatric",NA,NA,TRUE,"61","9","61","9","Antarctica","larval info not given",NA,"Deep sea","Demersal or benthic","Macrourus spp.",NA,NA,"Actinopterygii","Chordata","other",NA,NA,NA,"Macrourus","Actinopterygii","Chordata",1,NA,NA,NA,NA,"61","9","61","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea,Demersal or benthic",TRUE,"100","100",NA,"Difficult",NA,"Demersal or benthic",NA
"Marionina spp.",NA,"Marionina","Clitellata","Annelida",NA,NA,"Marionina","Matamoros, Lisa; Rota, Emilia; Erseus, Christer",2012,"Cryptic diversity among the achaetous Marionina (Annelida, Clitellata, Enchytraeidae)","SYSTEMATICS AND BIODIVERSITY",10,"509","525",1,1,0,"annelida","Genetic, Morphological","mtDNA, ITS",11,"Diagnostic","Allopatric, Sympatric",NA,NA,TRUE,"39","18","110","19","Global","11 genetic lineages, 7 morphospecies. Larval info not given.",NA,"Soft sediment, Coastal, Intertidal or tide pools, supralittoral","Demersal or benthic, Coastal","Marionina spp.",NA,NA,"Clitellata","Annelida","other",NA,NA,NA,"Marionina","Clitellata","Annelida",1,NA,NA,NA,NA,"39","18","110","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Intertidal or tide pools, supralittoral,Demersal or benthic, Coastal",TRUE,"5","5","Sediment","Easy",NA,"Demersal or benthic",NA
"Marphysa spp.",NA,"Marphysa","Polychaeta","Annelida",NA,NA,"Marphysa","Lewis, Ceri; Karageorgopoulos, Perikles",2008,"A new species of Marphysa (Eunicidae) from the western Cape of South Africa","JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM",88,"277","287",1,1,0,"annelida","Genetic, Morphological, Reproductive","RAPD",2,"Statistic","Allopatric, Sympatric",NA,"Yes",TRUE,"61","6","35","1","South Africa, Atlantic Ocean","larval info not given",NA,"Rocky shore, Coastal, Intertidal or tide pools,Soft sediment","Demersal or benthic, Coastal","Marphysa spp.",NA,NA,"Polychaeta","Annelida","other",NA,NA,NA,"Marphysa","Polychaeta","Annelida",1,NA,NA,NA,NA,"61","6","35","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Soft sediment,Demersal or benthic, Coastal",TRUE,"5","5","Sediment and Rocky","Easy",NA,"Demersal or benthic",NA
"Mastigias spp.",NA,"Mastigias","Scyphozoa","Cnidaria","6/16/2023 11:01:06",266,"Mastigias","Swift, HF; Daglio, LG; Dawson, MN",2016,"Three routes to crypsis: Stasis, convergence, and parallelism in the Mastigias species complex (Scyphozoa, Rhizostomeae)","MOLECULAR PHYLOGENETICS AND EVOLUTION",99,"103","115",NA,NA,0,"Cnidaria","Genetic, Morphological","mtDNA, other nuclear",3,"No differentiation","Sympatric","No",NA,TRUE,"60","21","183","16","Indo-West-Pacific","Marine lake versus Ocean, in all three clades, morphology reflects habitat not clade","Pelagic","Pelagic","Pelagic","Mastigias",NA,NA,NA,NA,"other",NA,NA,NA,"Mastigias","Scyphozoa","Cnidaria",1,NA,NA,NA,NA,"60","21","183","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,"1000","1000",NA,"Normal","High","Pelagic",NA
"Mellita sp.",NA,"Mellita","Echinoidea","Echinodermata",NA,NA,"Mellita","Coppard, Simon E.; Zigler, Kirk S.; Lessios, H. A.",2013,"Phylogeography of the sand dollar genus Mellita: Cryptic speciation along the coasts of the Americas","MOLECULAR PHYLOGENETICS AND EVOLUTION",69,"1033","1042",1,1,0,"Echinodermata","Genetic","mtDNA, other nuclear",6,NA,"Allopatric, Sympatric, Parapatric",NA,NA,TRUE,"194","32",NA,NA,"Caribbean, Eastern Pacific","There's no morphological data in the paper. This is a phylogeographic analysis of many species, which uncovers cryptic lineages within morphospecies.","Planktotroph","Soft sediment, Coastal","Demersal or benthic","Mellita sp.",NA,NA,"Echinoidea","Echinodermata","other",NA,NA,NA,"Mellita","Echinoidea","Echinodermata",1,NA,NA,NA,NA,"194","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric, Parapatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal,Demersal or benthic",TRUE,"25","25","Sediment","Normal",NA,"Demersal or benthic",NA
"Meretrix spp.",NA,"Meretrix","Bivalvia","Mollusca",NA,NA,"Meretrix","Yamakawa, Ayako Yashiki; Yamaguchi, Masashi; Imai, Hideyuki",2008,"Genetic relationships among species of Meretrix (Mollusca : Veneridae) in the western Pacific Ocean","PACIFIC SCIENCE",62,"385","394",1,1,0,"Mollusca","Genetic","Allozymes",2,NA,"Allopatric",NA,NA,NA,"355","12",NA,NA,"Pacific","larval type not given. This is a large study of the genus (multiple species) that found two potential CS; numbers provided are for the whole study.",NA,"Soft sediment, Coastal, Estuarine, Intertidal or tide pools","Demersal or benthic, Coastal","Meretrix spp.",NA,NA,"Bivalvia","Mollusca","other",NA,NA,NA,"Meretrix","Bivalvia","Mollusca",1,NA,NA,NA,NA,"355","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Estuarine, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,"10","10","Sediment","Easy",NA,"Demersal or benthic",NA
"Metridium spp.",NA,"Metridium","Anthozoa","Cnidaria",NA,NA,"Metridium","BUCKLIN, A; HEDGECOCK, D",1982,"BIOCHEMICAL GENETIC-EVIDENCE FOR A 3RD SPECIES OF METRIDIUM (COELENTERATA, ACTINIARIA)","Marine Biology",66,"1","7",1,1,0,"Cnidaria","Genetic, Reproductive","Allozymes",3,NA,"Sympatric",NA,"Yes",TRUE,"342","3",NA,NA,"Atlantic, Pacific","larval info not given.","clonal","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal","Metridium spp.",NA,NA,"Anthozoa","Cnidaria","other",NA,NA,NA,"Metridium","Anthozoa","Cnidaria",1,NA,NA,NA,NA,"342","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,"5","5","Rocky","Easy",NA,"Demersal or benthic",NA
"Millepora spp.",NA,"Millepora","Hydrozoa","Cnidaria",NA,NA,"Millepora","MANCHENKO, GP; MOSCHENKO, AV; ODINTSOV, VS",1993,"BIOCHEMICAL GENETICS AND SYSTEMATICS OF MILLEPORA (COELENTERATA, HYDROZOA) FROM THE SHORE OF SOUTH VIETNAM","Biochemical Systematics and Ecology",21,"729","735",1,1,0,"Cnidaria","Genetic, Morphological","Allozymes",2,"Diagnostic","Sympatric",NA,NA,TRUE,"99","4","99","4","Indo-Pacific",NA,NA,"Coral reef","Demersal or benthic","Millepora spp.",NA,NA,"Hydrozoa","Cnidaria","other",NA,NA,NA,"Millepora","Hydrozoa","Cnidaria",1,NA,NA,NA,NA,"99","4","99","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,"10","10",NA,"Normal",NA,"Demersal or benthic",NA
"Munida spp.",NA,"Munida","Malacostraca","Arthropoda",NA,NA,"Munida","MacPherson, E; Machordom, A",2005,"Use of morphological and molecular data to identify three new sibling species of the genus Munida Leach, 1820 (Crustacea, Decapoda, Galatheidae) from New Caledonia","JOURNAL OF NATURAL HISTORY",39,"819","834",4,1,1,"Arthropoda","Genetic, Morphological","mtDNA",6,"Statistic","Allopatric",NA,NA,TRUE,"14","11","17","14","Indo-Pacific",NA,NA,"Coral reef, Rocky shore, seamounts","Demersal or benthic","Munida spp.",NA,NA,"Malacostraca","Arthropoda","other",NA,NA,NA,"Munida","Malacostraca","Arthropoda",4,NA,NA,NA,NA,"14","11","17","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef, Rocky shore, seamounts,Demersal or benthic",TRUE,"10","10","Rocky","Normal",NA,"Demersal or benthic",NA
"Myliobatis spp.",NA,"Myliobatis","Elasmobranchii","Chordata",NA,NA,"Myliobatis","LEVY, JA; CONCEICAO, MB",1989,"BIOCHEMICAL EVIDENCES FOR 2 SIBLING SPECIES OF GENUS MYLIOBATIS (CHONDRICHTHYES, MYLIOBATIDAE) IN SOUTH BRAZIL","Comparative Biochemistry and Physiology Part B: Comparative Biochemistry",94,"687","690",1,1,0,"Fish","Genetic, Morphological, Ecological","Allozymes",2,"Statistic","Sympatric","Yes",NA,TRUE,"40",NA,"40",NA,"Atlantic",NA,NA,"Pelagic","Pelagic","Myliobatis spp.",NA,NA,"Elasmobranchii","Chordata","other",NA,NA,NA,"Myliobatis","Elasmobranchii","Chordata",1,NA,NA,NA,NA,"40",NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,"1000","1000",NA,"Normal","High","Pelagic",NA
"Nautilus spp.",NA,"Nautilus","Cephalopoda","Mollusca",NA,NA,"Nautilus","WRAY, CG; LANDMAN, NH; BONACUM, J",1995,"GENETIC-DIVERGENCE AND GEOGRAPHIC DIVERSIFICATION IN NAUTILUS","Paleobiology",21,"220","228",1,1,0,"Mollusca","Genetic, Morphological","mtDNA",2,"No differentiation","Allopatric, Sympatric",NA,NA,NA,"17","10","17","10","Indo-Pacific",NA,NA,"Coral reef","Demersal or benthic","Nautilus spp.",NA,NA,"Cephalopoda","Mollusca","other",NA,NA,NA,"Nautilus","Cephalopoda","Mollusca",1,NA,NA,NA,NA,"17","10","17","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,"10","10",NA,"Normal",NA,"Demersal or benthic",NA
"Neophocaena spp.",NA,"Neophocaena","Mammalia","Chordata",NA,NA,"Neophocaena","Wang, J. Y.; Frasier, T. R.; Yang, S. C.; White, B. N.",2008,"Detecting recent speciation events: the case of the finless porpoise (genus Neophocaena)","HEREDITY",101,"145","155",1,1,0,"mammal","Genetic, Morphological","mtDNA, microsatellites",2,"Statistic","Allopatric, Sympatric",NA,NA,TRUE,"49","5","56","5","Pacific",NA,"viviparous","Pelagic","Pelagic","Neophocaena spp.",NA,NA,"Mammalia","Chordata","other",NA,NA,NA,"Neophocaena","Mammalia","Chordata",1,NA,NA,NA,NA,"49","5","56","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Pelagic,Pelagic",FALSE,"1000","1000",NA,"Normal","High","Pelagic",NA
"Oasisia spp.",NA,"Oasisia","Polychaeta","Annelida",NA,NA,"Oasisia","Hurtado, LA; Mateos, M; Lutz, RA; Vrijenhoek, RC",2002,"Molecular evidence for multiple species of Oasisia (Annelida : Siboglinidae) at eastern Pacific hydrothermal vents","CAHIERS DE BIOLOGIE MARINE",43,"377","380",1,1,0,"annelida","Genetic","mtDNA",2,NA,"Allopatric",NA,NA,NA,"53","4",NA,NA,"Pacific",NA,NA,"hydrothermal vent","Demersal or benthic","Oasisia spp.",NA,NA,"Polychaeta","Annelida","other",NA,NA,NA,"Oasisia","Polychaeta","Annelida",1,NA,NA,NA,NA,"53","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allopatric",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"hydrothermal vent,Demersal or benthic",TRUE,"1","1",NA,"Difficult",NA,"Demersal or benthic",NA
