NameBeforeCor,acceptedName_wormsV1,genus_wormsV1,class_wormsV1,phylum_wormsV1,PremierNom,Article_authors,Article_year,Article_title,Article_journal,Article_vol,Article_start.Page,Article_end.Page,Group_survey,MainDataType,GeneticMarker,Nb_CS,Morpho_diff,relativeDistribution,Eco_diff,Repro_diff,RIOK,Nig,Nsg,Nim,Nsm,Region,Comments,Larva,Habitat,adultDispersal,SpeciesName,KeepFATE,gs,yearb,Nb_CScomplex_inArticle,nb_RemainingArticles,nb_RemovedArticles,nb_art,nb_Articles_per_sp,orig_Nig,orig_Nsg,orig_Nim,orig_Nsm,Npol,Ntemp,Trop,Stemp,Spol,nb_zones,NbSitesUsed_r100,SimplifiedName,ncbi,mito,dna,Geo_diff,larv.pktro,larv.leci,larv.dd,larv.pel,larva,Hpelagic,Hcoastal,Hcoralreef,Hdeepsea,Hintertidal,Hseagrass,Hestuarine,Hcave,adultbenthic,adultpelagic,HabAdu,Demersal,HKKv3,Hsubstrate,HDifAccess,Dispers,DispAdult,noNeedTaxonSearch,genus,genusBC,Geo_dif3,symp,sympara,allop,NoMorphoDiff,StatMorphoDiff,DiagMorphoDiff,phylum_class,hard_skeleton,ferti,image,genitals,CSss,Sympatric
Amphioctopus neglectus,Amphioctopus neglectus,Amphioctopus,Cephalopoda,Mollusca,Amphioctopus,"Tang, Y; Zheng, XD; Liu, HJ; Sunxie, FG",2020,Population genetics and comparative mitogenomic analyses reveal cryptic diversity of Amphioctopus neglectus (Cephalopoda: Octopodidae),GENOMICS,112,3893,3902,Mollusca,Genetic,mtDNA,3,NA,"Allopatric, Sympatric, mostly sympatric",NA,NA,NA,90,8,NA,NA,"North Pacific, Indian Ocean",NA,Direct development,Coastal,NA,Amphioctopus neglectus,other,16,1999,1,1,0,1,1,90,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphioctopus neglectus,TRUE,TRUE,mito,"Sympatric, Allopatric",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Coastal,NA",FALSE,NA,NA,Average,NA,NA,NA,Amphioctopus,Amphioctopus,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Mollusca_Cephalopoda,Y,I,Y,Y,NA,TRUE
Amphipholis squamata,Amphipholis squamata,Amphipholis,Ophiuroidea,Echinodermata,Amphipholis,"Boissin, E.; Chenuil, A.; Feral, J. -P.",2010,Species of the complex Amphipholis squamata (Ophiuroidae) from Marseilles,ECHINODERMS: DURHAM,NA,135,138,Echinodermata,Genetic,"mtDNA, microsatellites, other nuclear",5,Diagnostic,Sympatric,NA,NA,TRUE,64,1,NA,NA,Mediterranean,NA,"Direct development, Demersal or benthic, Brooding","Rocky shore, Seagrass, Coastal",Demersal or benthic,Amphipholis squamata,other,26,1828,1,1,4,1,5,64,1,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,4,100,Amphipholis squamata,TRUE,TRUE,nuc&mito,Sympatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Seagrass, Coastal,Demersal or benthic",TRUE,10,Rocky,Average,Very low or null,Demersal or benthic,NA,Amphipholis,Amphipholis,Sympatric,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Echinodermata_Ophiuroidea,Y,E,N,N,FALSE,TRUE
Sertularia distans,Amphisbetia distans,Amphisbetia,Hydrozoa,Cnidaria,Sertularia,"Moura, Carlos J.; Cunha, Marina R.; Porteiro, Filipe M.; Rogers, Alex D.",2011,"The use of the DNA barcode gene 16S mRNA for the clarification of taxonomic problems within the family Sertulariidae (Cnidaria, Hydrozoa)",ZOOLOGICA SCRIPTA,40,520,537,Cnidaria,Genetic,mtDNA,2,NA,Allopatric,NA,NA,NA,3,3,NA,NA,Atlantic,"this is part of a general study thus not many sequences, difficult toassess allopatry, etc.",Unknown,"Rocky shore, Deep sea, Coastal, fouling communities",Demersal or benthic,Sertularia distans,other,31,1816,7,1,0,1,1,3,3,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Amphisbetia distans,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Deep sea, Coastal, fouling communities,Demersal or benthic",TRUE,100,Rocky,Inaccessible,NA,Demersal or benthic,NA,Amphisbetia,Sertularia,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,FALSE
Anteaeolidiella indica,Anteaeolidiella indica,Anteaeolidiella,Gastropoda,Mollusca,Anteaeolidiella,"Carmona, Leila; Bhave, Vishal; Salunkhe, Rahul; Pola, Marta; Gosliner, Terrence M.; Lucas Cervera, Juan",2014,"Systematic review of Anteaeolidiella (Mollusca, Nudibranchia, Aeolidiidae) based on morphological and molecular data, with a description of three new species",ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,171,108,132,Mollusca,"Genetic, Morphological","mtDNA, other nuclear",8,NA,"Allopatric, Sympatric",NA,NA,TRUE,236,18,NA,NA,Global,NA,Unknown,Coral reef,Demersal or benthic,Anteaeolidiella indica,other,11,1888,1,1,0,1,1,236,18,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,Anteaeolidiella indica,FALSE,FALSE,No seq,"Sympatric, Allopatric",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,NA,Demersal or benthic,NA,Anteaeolidiella,Anteaeolidiella,"Sympatric, Allopatric",TRUE,TRUE,TRUE,NA,NA,NA,Mollusca_Gastropoda,Y,B,Y,B,NA,TRUE
Antennella secundaria,Antennella secundaria,Antennella,Hydrozoa,Cnidaria,Antennella,"Moura, CJ; Lessios, H; Cortes, J; Nizinski, MS; Reed, J; Santos, RS; Collins, AG",2018,"Hundreds of genetic barcodes of the species-rich hydroid superfamily Plumularioidea (Cnidaria, Medusozoa) provide a guide toward more reliable taxonomy",SCIENTIFIC REPORTS,8,NA,NA,Cnidaria,Genetic,mtDNA,10,NA,unclear,NA,NA,NA,89,NA,NA,NA,global,There's more details about sites and allopatry in the supp info but this paper has 76 CS and i'm not going to extract all the info right now - I don't think we need it for this first paper,Lecithotrophic,"Pelagic, Coastal, Rocky shore",Demersal or benthic,Antennella secundaria,other,23,1791,29,1,0,1,1,89,unclear,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Antennella secundaria,TRUE,TRUE,nuc&mito,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Pelagic, Coastal, Rocky shore,Demersal or benthic",TRUE,1000,Rocky,Average,NA,Demersal or benthic,NA,Antennella,Antennella,NA,FALSE,FALSE,FALSE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,NA
Antennella similis,Antennella similis,Antennella,Hydrozoa,Cnidaria,Antennella,"Moura, CJ; Lessios, H; Cortes, J; Nizinski, MS; Reed, J; Santos, RS; Collins, AG",2018,"Hundreds of genetic barcodes of the species-rich hydroid superfamily Plumularioidea (Cnidaria, Medusozoa) provide a guide toward more reliable taxonomy",SCIENTIFIC REPORTS,8,NA,NA,Cnidaria,Genetic,mtDNA,4,NA,unclear,NA,NA,NA,89,NA,NA,NA,global,There's more details about sites and allopatry in the supp info but this paper has 76 CS and i'm not going to extract all the info right now - I don't think we need it for this first paper,Lecithotrophic,"Pelagic, Coastal, Rocky shore",Demersal or benthic,Antennella similis,other,23,2013,29,1,0,1,1,89,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antennella similis,TRUE,TRUE,mito,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Pelagic, Coastal, Rocky shore,Demersal or benthic",TRUE,1000,Rocky,Average,NA,Demersal or benthic,NA,Antennella,Antennella,NA,FALSE,FALSE,FALSE,NA,NA,NA,Cnidaria_Hydrozoa,N,E,N,N,NA,NA
Anthopleura elegantissima,Anthopleura elegantissima,Anthopleura,Anthozoa,Cnidaria,Anthopleura,"McFadden, CS; Grosberg, RK; Cameron, BB; Karlton, DP; Secord, D",1997,Genetic relationships within and between clonal and solitary forms of the sea anemone Anthopleura elegantissima revisited: Evidence for the existence of two species,MARINE BIOLOGY,128,127,139,Cnidaria,"Genetic, Reproductive",Allozymes,2,NA,Sympatric,NA,NA,TRUE,850,13,NA,NA,Pacific,NA,"Planktotroph, fission","Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",Anthopleura elegantissima,other,48,1835,1,1,0,1,1,850,13,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,1,100,Anthopleura elegantissima,TRUE,TRUE,nuc&mito,Sympatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,NA,Anthopleura,Anthopleura,Sympatric,TRUE,TRUE,FALSE,NA,NA,NA,Cnidaria_Anthozoa,Y,E,N,N,NA,TRUE
Anthothoe chilensis,Anthothoe chilensis,Anthothoe,Anthozoa,Cnidaria,Anthothoe,"Spano, CA; Haussermann, V; Acuna, FH; Griffiths, C; Seeb, LW; Gomez-Uchida, D",2018,Hierarchical biogeographical processes largely explain the genomic divergence pattern in a species complex of sea anemones (Metridioidea: Sagartiidae: Anthothoe),MOLECULAR PHYLOGENETICS AND EVOLUTION,127,217,228,Cnidaria,"Genetic, Morphological, Ecological",RAD /SNP/-omics (>20 markers),7,No differentiation,Allopatric,Yes,NA,TRUE,85,18,85,18,southern hemisphere,NA,Unknown,"Rocky shore, Coastal, Intertidal or tide pools","Demersal or benthic, Coastal",Anthothoe chilensis,other,13,1830,1,1,0,1,1,85,18,85,18,FALSE,FALSE,TRUE,TRUE,FALSE,2,NA,Anthothoe chilensis,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Rocky shore, Coastal, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,5,Rocky,Accessible,NA,Demersal or benthic,NA,Anthothoe,Anthothoe,Allopatric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Cnidaria_Anthozoa,Y,E,N,N,TRUE,FALSE
Antillesoma  antillarum,Antillesoma antillarum,Antillesoma,Phascolosomatidea,Sipuncula,Antillesoma,"Silva-Morales, I; Lopez-Aquino, MJ; Islas-Villanueva, V; Ruiz-Escobar, F; Bastida-Zavala, JR",2019,"Morphological and molecular differences between the Amphiamerican populations of Antillesoma (Sipuncula: Antillesomatidae), with the description of a new species",REVISTA DE BIOLOGIA TROPICAL,67,S101,S109,Sipuncula,NA,mtDNA,3,NA,Allopatric,NA,NA,NA,6,6,6,2,"Caribbean, Pacific(Mexican), Thailand","1 new species described, so no longer a CS (but indeed one remains to describe apparently from genetic our of the 3)",Unknown,"Coastal, Intertidal or tide pools, coral rubbles",NA,Antillesoma antillarum,other,2,1858,1,1,0,1,1,6,6,6 or more,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,Antillesoma antillarum,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Coastal, Intertidal or tide pools, coral rubbles,NA",FALSE,10,NA,Accessible,NA,NA,NA,Antillesoma,Antillesoma,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Sipuncula_Phascolosomatidea,N,E,N,N,NA,FALSE
Anyperodon leucogrammicus,Anyperodon leucogrammicus,Anyperodon,Actinopterygii,Chordata,Anyperodon,"Qu, M; Tang, W; Liu, QH; Wang, DX; Ding, SX",2018,Genetic diversity within grouper species and a method for interspecific hybrid identification using DNA barcoding and RYR3 marker,MOLECULAR PHYLOGENETICS AND EVOLUTION,121,46,51,Fish,Genetic,"mtDNA, other nuclear",2,NA,Allopatric,NA,NA,NA,7,6,NA,NA,indo-pacific,NA,"Planktotroph, Coral reef","Pelagic, Coastal",Coastal,Anyperodon leucogrammicus,other,1,1828,4,1,0,1,1,7,6,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,2,100,Anyperodon leucogrammicus,TRUE,TRUE,nuc&mito,Allopatric,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Pelagic, Coastal,Coastal",FALSE,1000,NA,Average,NA,NA,NA,Anyperodon,Anyperodon,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Chordata_Actinopterygii,Y,E,Y,N,NA,FALSE
Apionsoma misakianum,Apionsoma (Apionsoma) misakianum,Apionsoma,Phascolosomatidea,Sipuncula,Apionsoma,"Staton, JL; Rice, ME",1999,Genetic differentiation despite teleplanic larval dispersal: Allozyme variation in sipunculans of the Apionsoma misakianum species-complex,BULLETIN OF MARINE SCIENCE,65,467,480,Sipuncula,"Genetic, Morphological, Reproductive",Allozymes,2,No differentiation,Allopatric,NA,Yes,TRUE,193,6,NA,NA,Caribbean,Morphological and reproductive data are in another paper.,"Planktotroph, Pelagic",Coral reef,Demersal or benthic,Apionsoma misakianum,other,4,1904,1,1,0,1,1,193,6,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,Apionsoma misakianum,TRUE,TRUE,nuc&mito,Allopatric,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coral reef,Demersal or benthic",TRUE,10,NA,Average,Moderate to high,Demersal or benthic,NA,Apionsoma,Apionsoma,Allopatric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Sipuncula_Phascolosomatidea,N,E,N,N,TRUE,FALSE
Aplysia elongata,Aplysia elongata,Aplysia,Gastropoda,Mollusca,Aplysia,"Golestani, H; Crocetta, F; Padula, V; Camacho-Garcia, Y; Langeneck, J; Poursanidis, D; Pola, M; Yokes, MB; Cervera, JL; Jung, DW; Gosliner, TM; Araya, JF; Hooker, Y; Schrodl, M; Valdes, A",2019,The little Aplysia coming of age: from one species to a complex of species complexes in Aplysia parvula (Mollusca: Gastropoda: Heterobranchia),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,187,279,330,Mollusca,"Genetic, Morphological","mtDNA, other nuclear",3,No differentiation,Allopatric,NA,NA,NA,29,16,29,16,global,NA,Unknown,"Coastal, Not sure - need to look up elsewhere","Demersal or benthic, Coastal",Aplysia elongata,other,44,1860,3,1,0,1,1,29,16,29,16,FALSE,FALSE,TRUE,FALSE,FALSE,1,NA,Aplysia elongata,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Not sure - need to look up elsewhere,Demersal or benthic, Coastal",TRUE,25,NA,Average,NA,Demersal or benthic,NA,Aplysia,Aplysia,Allopatric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE
Aplysia ghanimii,Aplysia ghanimii,Aplysia,Gastropoda,Mollusca,Aplysia,"Golestani, H; Crocetta, F; Padula, V; Camacho-Garcia, Y; Langeneck, J; Poursanidis, D; Pola, M; Yokes, MB; Cervera, JL; Jung, DW; Gosliner, TM; Araya, JF; Hooker, Y; Schrodl, M; Valdes, A",2019,The little Aplysia coming of age: from one species to a complex of species complexes in Aplysia parvula (Mollusca: Gastropoda: Heterobranchia),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,187,279,330,Mollusca,"Genetic, Morphological","mtDNA, other nuclear",2,No differentiation,Allopatric,NA,NA,NA,26,9,26,9,global,NA,Unknown,"Coastal, Not sure - need to look up elsewhere","Demersal or benthic, Coastal",Aplysia ghanimii,other,44,2019,3,1,0,1,1,26,9,26,9,NA,NA,NA,NA,NA,NA,NA,Aplysia ghanimii,FALSE,FALSE,No seq,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Not sure - need to look up elsewhere,Demersal or benthic, Coastal",TRUE,25,NA,Average,NA,Demersal or benthic,NA,Aplysia,Aplysia,Allopatric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE
Aplysia parvula,Aplysia parvula,Aplysia,Gastropoda,Mollusca,Aplysia,"Golestani, H; Crocetta, F; Padula, V; Camacho-Garcia, Y; Langeneck, J; Poursanidis, D; Pola, M; Yokes, MB; Cervera, JL; Jung, DW; Gosliner, TM; Araya, JF; Hooker, Y; Schrodl, M; Valdes, A",2019,The little Aplysia coming of age: from one species to a complex of species complexes in Aplysia parvula (Mollusca: Gastropoda: Heterobranchia),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,187,279,330,Mollusca,"Genetic, Morphological","mtDNA, other nuclear",3,No differentiation,Allopatric,NA,NA,NA,7,6,9,8,"atlantic, pacific",NA,Planktotroph,"Coastal, Not sure - need to look up elsewhere","Demersal or benthic, Coastal",Aplysia parvula,other,44,1863,3,1,0,1,1,7,6,9,8,FALSE,TRUE,TRUE,TRUE,FALSE,3,100,Aplysia parvula,TRUE,TRUE,nuc&mito,Allopatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Coastal, Not sure - need to look up elsewhere,Demersal or benthic, Coastal",TRUE,25,NA,Average,NA,Demersal or benthic,NA,Aplysia,Aplysia,Allopatric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Mollusca_Gastropoda,Y,B,Y,B,TRUE,FALSE
Aquilastacus serratus,Aquilastacus serratus,Aquilastacus,Copepoda,Arthropoda,Aquilastacus,"Huys, R; Conroy-Dalton, S",2005,"Aquilastacus gen. nov from the southern North Sea and the taxonomic position of Leptastacus operculatus Masry, 1970 (Copepoda : Harpacticoida : Leptastacidae)",CAHIERS DE BIOLOGIE MARINE,46,347,363,Arthropoda,Morphological,NA,2,Diagnostic,Sympatric,NA,NA,TRUE,NA,NA,2,1,North sea,NA,"Direct development, Brooding","Soft sediment, Coastal","Demersal or benthic, Coastal",Aquilastacus serratus,other,1,2005,1,1,0,1,1,NA,NA,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,Aquilastacus serratus,FALSE,FALSE,No seq,Sympatric,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment, Coastal,Demersal or benthic, Coastal",TRUE,25,Sediment,Average,Very low or null,Demersal or benthic,NA,Aquilastacus,Aquilastacus,Sympatric,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Arthropoda_Hexanauplia,NA,NA,NA,NA,FALSE,TRUE
Archinome rosacea,Archinome rosacea,Archinome,Polychaeta,Annelida,Archinome,"Borda, Elizabeth; Kudenov, Jerry D.; Chevaldonne, Pierre; Blake, James A.; Desbruyeres, Daniel; Fabri, Marie-Claire; Hourdez, Stephane; Pleijel, Fredrik; Shank, Timothy M.; Wilson, Nerida G.; Schulze, Anja; Rouse, Greg W.",2013,Cryptic species of Archinome (Annelida: Amphinomida) from vents and seeps,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,280,NA,NA,Annelida,"Genetic, Morphological","mtDNA, other nuclear, ITS",5,No differentiation,"Allopatric, Parapatric",NA,NA,NA,65,22,65,22,Pacific,NA,Planktotroph,"Deep sea, hydrothermal vent",Demersal or benthic,Archinome rosacea,other,5,1985,1,1,0,1,1,65,22,65,22,FALSE,TRUE,TRUE,TRUE,FALSE,3,NA,Archinome rosacea,TRUE,TRUE,nuc&mito,"Allopatric, Parapatric",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea, hydrothermal vent,Demersal or benthic",TRUE,100,NA,Inaccessible,NA,Demersal or benthic,NA,Archinome,Archinome,Allopatric,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Annelida_Polychaeta,N,B,N,N,TRUE,FALSE
Vesicomya gigas,Archivesica gigas,Archivesica,Bivalvia,Mollusca,Vesicomya,"VRIJENHOEK, RC; SCHUTZ, SJ; GUSTAFSON, RG; LUTZ, RA",1994,"CRYPTIC SPECIES OF DEEP-SEA CLAMS (MOLLUSCA, BIVALVIA, VESICOMYIDAE) FROM HYDROTHERMAL VENT AND COLD-WATER SEEP ENVIRONMENTS",DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,41,1171,1189,Mollusca,Genetic,Allozymes,2,NA,Allopatric,NA,NA,NA,NA,NA,NA,NA,"Pacific, gulf of Mexico",NA,Planktotroph,"Deep sea, hydrothermal vents, cold seeps",Demersal or benthic,Vesicomya gigas,other,12,1896,3,1,0,1,1,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,1,NA,Archivesica gigas,TRUE,TRUE,nuc&mito,Allopatric,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Deep sea, hydrothermal vents, cold seeps,Demersal or benthic",TRUE,100,NA,Inaccessible,NA,Demersal or benthic,NA,Archivesica,Vesicomya,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Mollusca_Bivalvia,Y,E,N,N,NA,FALSE
Arenicola defodiens,Arenicola defodiens,Arenicola,Polychaeta,Annelida,Arenicola,"Luttikhuizen, Pieternella C.; Dekker, Rob",2010,"Pseudo-cryptic species Arenicola defodiens and Arenicola marina (Polychaeta: Arenicolidae) in Wadden Sea, North Sea and Skagerrak: Morphological and molecular variation",JOURNAL OF SEA RESEARCH,63,17,23,Annelida,"Genetic, Morphological, Ecological, Reproductive",mtDNA,2,Statistic,Sympatric,Yes,NA,TRUE,56,12,210,14,North sea,NA,Lecithotrophic,"Soft sediment, Coastal, Estuarine, Intertidal or tide pools","Demersal or benthic, Coastal",Arenicola defodiens,other,6,1993,1,1,0,1,1,56,12,210,14,FALSE,TRUE,FALSE,FALSE,FALSE,1,100,Arenicola defodiens,TRUE,TRUE,mito,Sympatric,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Soft sediment, Coastal, Estuarine, Intertidal or tide pools,Demersal or benthic, Coastal",TRUE,10,Sediment,Accessible,NA,Demersal or benthic,NA,Arenicola,Arenicola,Sympatric,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Annelida_Polychaeta,N,B,N,N,TRUE,TRUE
Paraonis assimilis,Aricidea (Acmira) assimilis,Aricidea,Polychaeta,Annelida,Paraonis,"Langeneck, J; Barbieri, M; Maltagliati, F; Castelli, A",2019,Molecular phylogeny of Paraonidae (Annelida),MOLECULAR PHYLOGENETICS AND EVOLUTION,136,1,13,Annelida,Genetic,"mtDNA, ITS",2,NA,Allopatric,NA,NA,NA,5,5,NA,NA,Mediterranean,NA,Unknown,Soft sediment,Demersal or benthic,Aricidea (Acmira) assimilis,other,85,1959,8,1,0,1,1,5,5,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,2,NA,Aricidea assimilis,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic",TRUE,NA,Sediment,Average,NA,Demersal or benthic,NA,Aricidea,Paraonis,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,FALSE
Paraonis cerrutti,Aricidea (Acmira) cerrutii,Aricidea,Polychaeta,Annelida,Paraonis,"Langeneck, J; Barbieri, M; Maltagliati, F; Castelli, A",2019,Molecular phylogeny of Paraonidae (Annelida),MOLECULAR PHYLOGENETICS AND EVOLUTION,136,1,13,Annelida,Genetic,"mtDNA, ITS",2,NA,Allopatric,NA,NA,NA,4,4,NA,NA,"Mediterranean, Atlantic",NA,Unknown,Soft sediment,Demersal or benthic,Aricidea (Acmira) cerrutii,other,85,1966,8,1,0,1,1,4,4,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,3,100,Aricidea cerrutii,TRUE,TRUE,nuc&mito,Allopatric,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Soft sediment,Demersal or benthic",TRUE,NA,Sediment,Average,NA,Demersal or benthic,NA,Aricidea,Paraonis,Allopatric,FALSE,FALSE,TRUE,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,FALSE
Aricidea belgicae,Aricidea (Strelzovia) belgicae,Aricidea,Polychaeta,Annelida,Aricidea,"Brasier, MJ; Wiklund, H; Neal, L; Jeffreys, R; Linse, K; Ruhl, H; Glover, AG",2016,DNA barcoding uncovers cryptic diversity in 50% of deep-sea Antarctic polychaetes,ROYAL SOCIETY OPEN SCIENCE,3,NA,NA,Annelida,"Genetic, Morphological",mtDNA,3,NA,NA,NA,NA,NA,13,NA,13,NA,"Antarctic, Southern Ocean",(previously identified as A. simplex),Unknown,deep antarctic benthos,Demersal or benthic,Aricidea (Strelzovia) belgicae,other,85,1936,7,1,0,1,1,13,NA,13,NA,FALSE,TRUE,TRUE,TRUE,TRUE,4,100,Aricidea belgicae,TRUE,TRUE,mito,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"deep antarctic benthos,Demersal or benthic",TRUE,NA,NA,Average,NA,Demersal or benthic,NA,Aricidea,Aricidea,NA,FALSE,FALSE,FALSE,NA,NA,NA,Annelida_Polychaeta,N,B,N,N,NA,NA
