Species	Phylum	IsInSurvey	year
Acanthonus_armatus	Chordata	No	NA
Hexanchus_nakamurai	Chordata	No	NA
Cliona_viridis	Porifera	Yes	NA
Ichthyscopus_barbatus	Chordata	No	NA
Diadumene_leucolena	Cnidaria	No	NA
Aplysia_morio	Mollusca	No	1901
Euprotomicrus_bispinatus	Chordata	No	NA
Prognathodes_aya	Chordata	No	NA
Timbellus_bednalli	Mollusca	No	NA
Philobrya_wandelensis	Mollusca	No	1906
Plotosus_canius	Chordata	No	NA
Urolophus_flavomosaicus	Chordata	No	NA
Conus_lizardensis	Mollusca	No	1865
IschNochiton_contractus	Mollusca	No	NA
Bellidilia_undecimspiNosa	Arthropoda	No	NA
Microlaimus_annelisae	Nematoda	No	1976
Astropecten_spinulosus	EchiNodermata	No	NA
Alvania_cancellata	Mollusca	No	1778
Mugilogobius_stigmaticus	Chordata	No	NA
Diodora_dysoni	Mollusca	No	NA
Coralliophila_bulbiformis	Mollusca	No	NA
Chromis_westaustralis	Chordata	No	NA
Idotea_emarginata	Arthropoda	No	NA
Cuspidaria_jeffreysi	Mollusca	No	NA
Ophiostriatus_atlanticus	EchiNodermata	No	NA
Psammobatis_lentigiNosa	Chordata	No	NA
Epimeria_(Hoplepimeria)_robusta	Arthropoda	No	NA
Stellifer_oscitans	Chordata	No	NA
Iphimedia_eblanae	Arthropoda	No	NA
Mastigopsis_hjorti	Mollusca	No	NA
Micropogonias_altipinnis	Chordata	No	NA
Heterocucumis_denticulata	EchiNodermata	No	NA
Trophonella_shackletoni	Mollusca	No	NA
Aplustrum_amplustre	Mollusca	No	NA
AntheNoides_granulosus	EchiNodermata	No	1913
Theta_chariessa	Mollusca	No	NA
Conus_obscurus	Mollusca	No	1832
Euapta_godeffroyi	EchiNodermata	No	NA
Sebastes_miniatus	Chordata	Yes	NA
Parvamussium_pauciliratum	Mollusca	No	NA
Collodes_robustus	Arthropoda	No	1883
Apristurus_microps	Chordata	No	NA
Rhynchonema_moorea	Nematoda	No	1974
Acropora_plumosa	Cnidaria	No	1998
Hybochelus_cancellatus	Mollusca	No	NA
Megastomia_simplex	Mollusca	No	NA
Lyphira_heterograna	Arthropoda	No	NA
Sicyonia_dejouanneti	Arthropoda	No	2003
Lophopagurus_(Lophopagurus)_lacertosus	Arthropoda	No	NA
Rhizosmilia_multipalifera	Cnidaria	No	1998
Acropora_squarrosa	Cnidaria	No	1834
Cucumaria_vegae	EchiNodermata	No	1886
Siphamia_mossambica	Chordata	No	NA
Hastula_cinerea	Mollusca	No	NA
Colpospira_accisa	Mollusca	No	NA
Eurytemora_gracilis	Arthropoda	No	NA
Gadella_jordani	Chordata	No	NA
Lysmata_vittata	Arthropoda	No	NA
Colossendeis_glacialis	Arthropoda	No	NA
Dialommus_macrocephalus	Chordata	No	NA
Plectroglyphidodon_sindonis	Chordata	No	NA
Chromodoris_lochi	Mollusca	No	1982
Praunus_neglectus	Arthropoda	No	1869
Semipallium_fulvicostatum	Mollusca	No	NA
Ophichthus_remiger	Chordata	No	NA
NeomoNoceratina_iniqua	Arthropoda	No	1868
Sphaeroma_quadridentatum	Arthropoda	No	1818
Coralliophila_costularis	Mollusca	No	NA
Munida_gilii	Arthropoda	No	1993
Cornucalanus_robustus	Arthropoda	No	NA
Eusarsiella_texana	Arthropoda	No	1962
Polycheria_antarctica	Arthropoda	No	NA
Rimula_frenulata	Mollusca	No	NA
Timoclea_costellifera	Mollusca	No	NA
Ethalia_guamensis	Mollusca	No	NA
Naricava_vincentiana	Mollusca	No	NA
Phoronis_ovalis	Phoronida	No	1856
Spondylus_anacanthus	Mollusca	No	NA
Thalassocaris_crinita	Arthropoda	No	NA
OeNopota_cinerea	Mollusca	No	NA
Discoconchoecia_tamensis	Arthropoda	No	NA
Symethis_variolosa	Arthropoda	No	NA
Graviscalpellum_pedunculatum	Arthropoda	No	NA
Atherinella_argentea	Chordata	No	NA
Paracentropyge_multifasciata	Chordata	No	NA
Micropodarke_dubia	Annelida	No	NA
Pinctada_chemnitzii	Mollusca	No	NA
Vexillum_sykesi	Mollusca	No	NA
Cancer_bellianus	Arthropoda	No	1861
Erisphex_pottii	Chordata	No	NA
Lensia_ajax	Cnidaria	No	1941
Cerithium_flemischi	Mollusca	No	1933
Heteromastus_filobranchus	Annelida	No	1932
Darwinella_oxeata	Porifera	No	1961
Dodecas_elongata	Arthropoda	No	NA
Sicyopterus_japonicus	Chordata	No	NA
Namalycastis_abiuma	Annelida	No	NA
Oediceropsis_brevicornis	Arthropoda	No	1865
Stegastes_altus	Chordata	No	NA
Helicocranchia_papillata	Mollusca	No	NA
Pachygrapsus_laevimanus	Arthropoda	No	1858
Gonatus_steenstrupi	Mollusca	No	NA
ArNoglossus_macrolophus	Chordata	No	NA
Jaera_(Jaera)_ischiosetosa	Arthropoda	No	NA
Acropora_sukarNoi	Cnidaria	No	1997
Cephalopholis_nigripinnis	Chordata	No	NA
Callista_roseotincta	Mollusca	No	NA
Pisinna_oblata	Mollusca	No	NA
Henricia_fisheri	EchiNodermata	No	1962
Schizotricha_turqueti	Cnidaria	No	NA
Vexilla_vexillum	Mollusca	No	NA
Cyttopsis_cypho	Chordata	No	NA
Heterocarpus_parvispina	Arthropoda	No	1917
Pollicipes_polymerus	Arthropoda	No	NA
CariNosquilla_carita	Arthropoda	No	2001
ParamphiNome_australis	Annelida	No	1930
Ophiactis_quinqueradia	EchiNodermata	No	1872
Oratosquillina_interrupta	Arthropoda	No	1911
Heterogenys_microphthalma	Arthropoda	No	NA
Marmorofusus_nicobaricus	Mollusca	No	NA
Leucascus_leptoraphis	Porifera	No	NA
Macrorhynchia_phoenicea	Cnidaria	No	NA
Scopelarchus_michaelsarsi	Chordata	No	NA
Dactylospongia_elegans	Porifera	No	NA
Neomerinthe_beaNorum	Chordata	No	NA
Cantheschenia_longipinnis	Chordata	No	NA
Mycale_(Zygomycale)_pectinicola	Porifera	No	NA
Nephropsis_acanthura	Arthropoda	No	1990
Cryptocentrus_caeruleomaculatus	Chordata	No	NA
Parasquilla_coccinea	Arthropoda	No	1962
Iliacantha_sparsa	Arthropoda	No	1871
Poraster_superbus	EchiNodermata	No	1859
Kaupus_costatus	Chordata	No	NA
Pterodroma_cervicalis	Chordata	No	NA
Euchirella_bitumida	Arthropoda	No	NA
Amblyeleotris_fasciata	Chordata	No	NA
Charybdis_(Charybdis)_yaldwyni	Arthropoda	No	NA
Paranaitis_polyNoides	Annelida	No	NA
Drilliola_loprestiana	Mollusca	No	NA
Malacoceros_vulgaris	Annelida	No	NA
Apocryptodon_madurensis	Chordata	No	NA
Alpheus_digitalis	Arthropoda	No	1833
Icelinus_tenuis	Chordata	No	NA
Setipinna_taty	Chordata	No	NA
Stichaeopsis_nana	Chordata	No	NA
Ameritella_probrina	Mollusca	No	NA
Cytheretta_teshekpukensis	Arthropoda	No	NA
Luvarus_imperialis	Chordata	No	1810
Decatopecten_plica	Mollusca	No	NA
Dorippoides_facchiNo	Arthropoda	No	NA
Leptasterias_compta	EchiNodermata	No	NA
Pelonaia_corrugata	Chordata	No	1841
Eviota_herrei	Chordata	No	NA
Leptocotis_tenuirostris	Arthropoda	No	NA
Parathyasira_dunbari	Mollusca	No	NA
Galathea_tongi	Arthropoda	No	2015
Mugil_trichodon	Chordata	No	NA
Australoplax_tridentata	Arthropoda	No	NA
Bellaspira_pentagonalis	Mollusca	No	NA
Stereomastis_surda	Arthropoda	No	NA
Haliclona_(Gellius)_rudis	Porifera	No	NA
Sardinella_longiceps	Chordata	No	NA
Micropleurotoma_melvilli	Mollusca	No	NA
Schizoporella_biaperta	Bryozoa	No	NA
Saron_neglectus	Arthropoda	No	1902
Chaceon_erytheiae	Arthropoda	No	NA
Limneria_undata	Mollusca	No	NA
Campylaspis_antarctica	Arthropoda	No	NA
Stomozoa_roseola	Chordata	No	1955
Terebellides_anguicomus	Annelida	No	1858
Elthusa_raynaudii	Arthropoda	No	1834
Haplostylus_dakini	Arthropoda	No	NA
Diaphus_kapalae	Chordata	No	1995
Placogorgia_tenuis	Cnidaria	No	NA
Paronychocamptus_nanus	Arthropoda	No	NA
Antomicron_elegans	Nematoda	No	NA
Atyloella_magellanica	Arthropoda	No	NA
Sebastes_chrysomelas	Chordata	No	NA
Ogcocephalus_declivirostris	Chordata	No	1980
Eucithara_arenivaga	Mollusca	No	NA
Clathria_(Clathria)_terraeNovae	Porifera	No	NA
Placotrochides_scaphula	Cnidaria	No	1902
Ophiomastus_meridionalis	EchiNodermata	No	NA
Squalus_montalbani	Chordata	No	NA
Benthomangelia_macra	Mollusca	No	NA
Etmopterus_hillianus	Chordata	No	NA
Parasesarma_moluccense	Arthropoda	No	NA
Eurytrochus_concinnus	Mollusca	No	NA
Dermomurex_wareni	Mollusca	No	NA
Pentidotea_wosnesenskii	Arthropoda	No	1851
Corbula_scaphoides	Mollusca	No	NA
Madracis_formosa	Cnidaria	No	1973
Gigantidas_gladius	Mollusca	No	2003
Leptanthura_boweni	Arthropoda	No	1981
Microeulima_hemphillii	Mollusca	No	NA
Caesio_xanthoNota	Chordata	No	NA
Apogon_caudicinctus	Chordata	No	1988
Thalamita_intermedia	Arthropoda	No	NA
Xiphonectes_stephensoni	Arthropoda	No	NA
Globivenus_capricornea	Mollusca	No	NA
Siphonaria_pectinata	Mollusca	No	NA
Troschelia_berniciensis	Mollusca	No	NA
Staurostoma_mertensii	Cnidaria	No	NA
Myxilla_(Myxilla)_rosacea	Porifera	No	NA
Bistolida_stolida	Mollusca	No	NA
Teixeirichthys_jordani	Chordata	No	NA
Pectinaster_mimicus	EchiNodermata	No	1889
Abatus_shackletoni	EchiNodermata	No	1911
Griffithsius_latipes	Arthropoda	No	NA
Ocenebra_edwardsii	Mollusca	Yes	NA
Americamysis_bahia	Arthropoda	No	NA
Stramonita_rustica	Mollusca	No	NA
Mopalia_muscosa	Mollusca	No	NA
Stomias_gracilis	Chordata	No	NA
Amphitrite_rubra	Annelida	No	NA
Hydroides_crucigera	Annelida	No	NA
Escharella_spiNosissima	Bryozoa	No	NA
Lepas_(Anatifa)_pectinata	Arthropoda	No	NA
Vexillum_michaui	Mollusca	No	NA
Menipea_flagellifera	Bryozoa	No	1884
Batrachoides_waltersi	Chordata	No	NA
Ogcocephalus_Notatus	Chordata	No	NA
Dendrilla_membraNosa	Porifera	No	NA
Muraenichthys_schultzei	Chordata	No	NA
Cephalodiscus_nigrescens	Hemichordata	No	1905
Acanthohaustorius_similis	Arthropoda	No	1980
Coccodentalium_carduus	Mollusca	No	1889
Helcogramma_springeri	Chordata	No	1986
Aphos_porosus	Chordata	No	NA
Harbansus_dayi	Arthropoda	No	1978
Nassarius_fraudator	Mollusca	No	NA
Squatina_squatina	Chordata	No	NA
Serratovola_gardineri	Mollusca	No	NA
Lankacythere_coralloides	Arthropoda	No	NA
Alopias_pelagicus	Chordata	No	NA
Seriola_fasciata	Chordata	No	NA
Tethya_ingalli	Porifera	No	1858
Malacoctenus_delalandii	Chordata	No	NA
Isactinernus_quadrilobatus	Cnidaria	No	NA
Coryphella_verrucosa	Mollusca	No	NA
Holothuria_(Microthele)_fuscopunctata	EchiNodermata	No	NA
Perinereis_anderssoni	Annelida	No	1865
Hemicytheridea_paiki	Arthropoda	No	1978
Potamilla_antarctica	Annelida	No	1907
Onyx_litorale	Nematoda	No	1938
Melampus_luteus	Mollusca	No	NA
Pyromaia_cuspidata	Arthropoda	No	1871
Ephalophis_greyi	Chordata	No	NA
Caryophyllia_(Caryophyllia)_octonaria	Cnidaria	No	NA
Warrana_pellucida	Mollusca	No	2002
Turricula_nelliae	Mollusca	No	NA
Ashtoret_granulosa	Arthropoda	No	NA
PhlycteNophora_orientalis	Arthropoda	No	1868
Gelasimus_vocans	Arthropoda	No	NA
Alveopora_catalai	Cnidaria	No	1968
Rossella_fibulata	Porifera	No	NA
Cnemidocarpa_radicosa	Chordata	No	NA
NanNobrachium_nigrum	Chordata	No	NA
Epiactis_prolifera	Cnidaria	No	NA
Alpheus_frontalis	Arthropoda	No	1834
Bathyphellia_margaritacea	Cnidaria	No	NA
Peachia_cylindrica	Cnidaria	No	NA
Johnius_macrorhynus	Chordata	No	NA
Keijella_whatleyi	Arthropoda	No	1981
Davila_plana	Mollusca	No	NA
Leucon_(Leucon)_serratus	Arthropoda	No	NA
Ocinebrina_aciculata	Mollusca	No	NA
Chirolophis_decoratus	Chordata	No	NA
Olivella_watermani	Mollusca	No	1940
Trochita_pileus	Mollusca	No	NA
ANoxycalyx_(Scolymastra)_joubini	Porifera	No	NA
Triacanthodes_aNomalus	Chordata	No	NA
Dawsonius_latispinus	Arthropoda	No	1967
Gammarus_subtypicus	Arthropoda	No	NA
Calcinus_imperialis	Arthropoda	No	1901
Angaria_tyria	Mollusca	No	NA
Haustellum_haustellum	Mollusca	No	NA
GymNobela_engonia	Mollusca	No	1884
Gemmula_graeffei	Mollusca	No	NA
Pagrus_major	Chordata	No	NA
Chlidichthys_chagosensis	Chordata	No	2004
Snyderidia_canina	Chordata	No	NA
Bathycheles_integer	Arthropoda	No	NA
Aequorea_vitrina	Cnidaria	No	1853
Lissoclinum_patella	Chordata	No	NA
Chrysocythere_keiji	Arthropoda	No	NA
Amphipneustes_rostratus	EchiNodermata	No	NA
Muricodrupa_fenestrata	Mollusca	No	NA
Dorhynchus_ramusculus	Arthropoda	No	NA
Neoconger_mucronatus	Chordata	No	NA
Ulua_mentalis	Chordata	No	NA
Triodon_macropterus	Chordata	No	NA
Oneirodes_bulbosus	Chordata	No	NA
Japara_papporus	Arthropoda	No	NA
Macrocypraea_zebra	Mollusca	No	NA
Pasiphaea_hoplocerca	Arthropoda	No	1940
Schedophilus_ovalis	Chordata	No	NA
Astropyga_radiata	EchiNodermata	No	NA
Imbricaria_interlirata	Mollusca	No	NA
Caryophyllia_(Caryophyllia)_seguenzae	Cnidaria	No	NA
Argonauta_hians	Mollusca	No	NA
Pachygrapsus_crassipes	Arthropoda	No	1840
RhiNoptera_javanica	Chordata	No	NA
Metopa_pusilla	Arthropoda	No	1892
Phascolosoma_(Phascolosoma)_annulatum	Sipuncula	No	NA
Ennucula_puelcha	Mollusca	No	NA
Duplicaria_kieneri	Mollusca	No	NA
Amphimedon_viridis	Porifera	No	1864
EchiNodictyum_asperum	Porifera	No	1886
Cardita_distorta	Mollusca	No	1844
Boreonymphon_abyssorum	Arthropoda	No	NA
Diodora_gibberula	Mollusca	No	NA
Propilidium_tasmanicum	Mollusca	No	NA
Trimma_cheni	Chordata	Yes	2011
Epitonium_dallianum	Mollusca	No	NA
Echidna_leucotaenia	Chordata	No	NA
Tonna_pennata	Mollusca	No	NA
Phallusia_millari	Chordata	No	1985
Enneapterygius_triserialis	Chordata	No	1994
Crisia_elongata	Bryozoa	No	NA
Icilius_danae	Arthropoda	No	NA
Rictaxis_punctocaelatus	Mollusca	No	NA
AcanthoNotozoma_inflatum	Arthropoda	No	NA
MelaNostomias_niger	Chordata	No	NA
Ruggieria_indoiranica	Arthropoda	No	1981
Conus_lischkeanus	Mollusca	No	NA
Lepidoperca_magna	Chordata	No	NA
Perknaster_aurorae	EchiNodermata	No	NA
Polydora_hoplura	Annelida	No	1868
Acropora_pichoni	Cnidaria	No	1999
Rhycherus_filamentosus	Chordata	No	NA
Mesotanais_longisetosus	Arthropoda	No	1989
Ulakanthura_lara	Arthropoda	No	1978
Parapercis_queenslandica	Chordata	No	2007
Opistognathus_maxillosus	Chordata	No	NA
Arcos_erythrops	Chordata	No	NA
Centropomus_ensiferus	Chordata	No	NA
Pomadasys_stridens	Chordata	No	NA
Cymatiella_sexcostata	Mollusca	No	NA
Genyatremus_dovii	Chordata	No	NA
Oneirodes_thompsoni	Chordata	No	NA
Keijella_karwarensis	Arthropoda	No	NA
Leontocaris_amplectipes	Arthropoda	No	1990
Orthoyoldia_crosbyana	Mollusca	No	NA
Quasimitra_solida	Mollusca	No	NA
Upeneus_australiae	Chordata	No	2002
Hololepidella_nigropunctata	Annelida	No	NA
Nereis_panamensis	Annelida	No	1977
Astropecten_jonstoni	EchiNodermata	No	NA
XeNomedea_rhodopyga	Chordata	No	NA
CheloNodon_laticeps	Chordata	No	NA
Odontomacrurus_murrayi	Chordata	No	NA
Sutorectus_tentaculatus	Chordata	No	NA
Paraehlersia_ehlersiaeformis	Annelida	No	NA
Ophiactis_algicola	EchiNodermata	No	1933
Patagonacythere_longiducta	Arthropoda	No	1928
Eurysquilloides_sibogae	Arthropoda	No	1926
Bugularia_dissimilis	Bryozoa	No	NA
Leucon_(Alytoleucon)_pallidus	Arthropoda	No	NA
Lingula_anatina	Brachiopoda	No	1801
Hesiospina_vestimentifera	Annelida	No	1985
Ensiculus_australis	Mollusca	No	NA
Epitonium_candeanum	Mollusca	No	NA
Arichlidon_reyssi	Annelida	No	NA
Polyonyx_gibbesi	Arthropoda	No	1956
Praealticus_tanegasimae	Chordata	No	NA
Tutufa_bufo	Mollusca	No	NA
Paratanais_vetinari	Arthropoda	No	2005
Cryptocentrus_cinctus	Chordata	No	NA
Allomelita_pellucida	Arthropoda	No	NA
Propeamussium_siratama	Mollusca	No	NA
Petta_pusilla	Annelida	No	1866
Pneumodermopsis_ciliata	Mollusca	No	NA
Ophiomyxa_neglecta	EchiNodermata	No	NA
Aseraggodes_kobensis	Chordata	No	NA
Mesothuria_maroccana	EchiNodermata	No	1898
Kolga_hyalina	EchiNodermata	No	1879
Cypraecassis_testiculus	Mollusca	No	NA
AstheNognathus_atlanticus	Arthropoda	No	1933
Odontostomops_Normalops	Chordata	No	NA
Blenniella_bilitonensis	Chordata	No	NA
Turbo_haynesi	Mollusca	No	NA
Gossea_corynetes	Cnidaria	No	NA
Calidris_fuscicollis	Chordata	No	NA
Limopsis_multistriata	Mollusca	No	NA
Bathyraja_magellanica	Chordata	No	NA
Eucheilota_maculata	Cnidaria	No	1894
Amphiodia_(Amphispina)_digitata	EchiNodermata	No	NA
Halichondria_(Halichondria)_phakellioides	Porifera	No	NA
Haliclona_(Rhizoniera)_rosea	Porifera	No	NA
Volvulella_rostrata	Mollusca	No	NA
CliNocottus_acuticeps	Chordata	No	NA
Pseudocnus_dubiosus	EchiNodermata	No	NA
Dikoleps_nitens	Mollusca	No	NA
Achaeus_curvirostris	Arthropoda	No	NA
Sicyonia_bispiNosa	Arthropoda	No	NA
Syllis_vittata	Annelida	No	1840
Viscosia_coomansi	Nematoda	No	1984
Lucinisca_centrifuga	Mollusca	No	NA
Gerres_methueni	Chordata	No	NA
Ihlea_magalhanica	Chordata	No	1894
Notocypraea_pulicaria	Mollusca	No	NA
AidaNosagitta_oceania	Chaetognatha	No	NA
Argyripnus_iridescens	Chordata	No	NA
Trimma_fangi	Chordata	Yes	2004
Yoldiella_sabrina	Mollusca	No	NA
Reteporella_lepralioides	Bryozoa	No	NA
Cirrhipathes_spiralis	Cnidaria	No	NA
Nemipterus_aurifilum	Chordata	No	NA
Protopsammotopa_Norvegica	Arthropoda	No	1968
Choerodon_robustus	Chordata	No	NA
Daptonema_invagiferoum	Nematoda	No	NA
Dischistodus_darwiniensis	Chordata	No	NA
Ascorhynchus_pyrgiNospinus	Arthropoda	No	NA
Diodora_jaumei	Mollusca	No	1936
Cosmioconcha_calliglypta	Mollusca	No	NA
Robustosergia_extenuata	Arthropoda	No	NA
Holothuria_(Metriatyla)_martensii	EchiNodermata	No	NA
Amphioplus_(Amphioplus)_ancistrotus	EchiNodermata	No	NA
Tonna_chinensis	Mollusca	No	NA
Ianiropsis_alanmillari	Arthropoda	No	2010
Munida_forceps	Arthropoda	No	1880
Steromphala_umbilicaris	Mollusca	No	NA
PrioNospio_jubata	Annelida	No	1996
Himantolophus_groenlandicus	Chordata	No	NA
Parapercis_roseoviridis	Chordata	No	NA
Bathygobius_curacao	Chordata	No	NA
Kurtziella_atrostyla	Mollusca	No	NA
Penaeus_chinensis	Arthropoda	No	NA
Discoporella_umbellata	Bryozoa	No	NA
Synthecium_tubithecum	Cnidaria	No	NA
Lophiocharon_trisignatus	Chordata	No	NA
Callyspongia_(Toxochalina)_schulzei	Porifera	No	NA
Jellyella_tuberculata	Bryozoa	No	NA
Truncatella_guerinii	Mollusca	No	NA
Granulina_vitrea	Mollusca	No	NA
Moerella_hilaris	Mollusca	No	NA
Latreillopsis_bispiNosa	Arthropoda	No	1888
Hydroides_tuberculata	Annelida	No	1976
Archidistoma_aggregatum	Chordata	No	1891
Paracucumis_turricata	EchiNodermata	No	NA
Paracyatholaimoides_asymmetricus	Nematoda	No	1976
Acantholobulus_schmitti	Arthropoda	No	NA
Bathoxiphus_ensiculus	Mollusca	No	1877
Neomerinthe_hemingwayi	Chordata	No	NA
Pleurobranchus_peronii	Mollusca	No	1804
Stegoplax_longirostris	Arthropoda	No	NA
Haliscera_bigelowi	Cnidaria	No	1947
Ceratosoma_trilobatum	Mollusca	No	NA
Goniopora_Norfolkensis	Cnidaria	No	1982
Ilyograpsus_paludicola	Arthropoda	No	NA
Artemisina_plumosa	Porifera	No	1914
Sphaerodoridium_fauchaldi	Annelida	No	1993
Hyporthodus_flavolimbatus	Chordata	No	NA
CoryphaeNoides_marginatus	Chordata	No	NA
Rhacostoma_atlanticum	Cnidaria	No	1851
Fax_tabidus	Mollusca	No	NA
Apseudopsis_tuski	Arthropoda	No	NA
Siphamia_jebbi	Chordata	No	1993
Periglypta_puerpera	Mollusca	No	NA
Squaliolus_laticaudus	Chordata	No	NA
Gracilipurpura_rostrata	Mollusca	No	NA
Laomedea_angulata	Cnidaria	No	1861
Pododesmus_rudis	Mollusca	No	NA
Cyamium_communis	Mollusca	No	NA
Murex_tribulus	Mollusca	No	NA
Membraniporella_nitida	Bryozoa	No	NA
Morum_praeclarum	Mollusca	No	NA
Leucosyrinx_verrillii	Mollusca	No	NA
AgoNonida_ocyrhoe	Arthropoda	No	NA
Chromaspirina_multipapillata	Nematoda	No	1977
Neptunea_despecta	Mollusca	No	NA
Zapteryx_exasperata	Chordata	No	NA
BalaNophyllia_(BalaNophyllia)_dineta	Cnidaria	No	NA
Eunicella_singularis	Cnidaria	No	NA
Neobythites_sivicola	Chordata	No	NA
Leptochela_robusta	Arthropoda	No	1860
Harpacticus_flexus	Arthropoda	No	1873
Zu_cristatus	Chordata	No	NA
Livonia_mammilla	Mollusca	No	NA
Cryptoplax_mystica	Mollusca	No	NA
Cultellus_scalpellum	Mollusca	No	NA
Tole_laciniata	Arthropoda	No	1872
Achirus_klunzingeri	Chordata	No	NA
Galeus_atlanticus	Chordata	No	NA
Alluroteuthis_antarcticus	Mollusca	No	NA
Stylopathes_tenuispina	Cnidaria	No	NA
GymNonereis_sibogae	Annelida	No	NA
Compressidentalium_sedecimcostatum	Mollusca	No	1906
Amphipholis_pugetana	EchiNodermata	No	NA
Scorpaena_neglecta	Chordata	No	NA
Glycymeris_americana	Mollusca	No	NA
Dactylopusia_tisboides	Arthropoda	No	NA
Hoplostethus_latus	Chordata	No	NA
Acanthopagrus_morrisoni	Chordata	No	2013
Stylissa_flabelliformis	Porifera	No	1912
Pseudopalicus_oahuensis	Arthropoda	No	NA
Hastula_hectica	Mollusca	No	NA
Caprella_rapax	Arthropoda	No	NA
Leptoderma_macrops	Chordata	No	NA
Edwardsia_sipunculoides	Cnidaria	No	NA
CoNocara_murrayi	Chordata	No	NA
Oligognathus_bonelliae	Annelida	No	1882
Lutjanus_peru	Chordata	No	NA
Cumella_(Cumella)_vulgaris	Arthropoda	No	NA
Lubricogobius_ornatus	Chordata	No	NA
Paraminabea_aldersladei	Cnidaria	No	NA
Persephona_lichtensteinii	Arthropoda	No	NA
Alcyonidium_mamillatum	Bryozoa	No	NA
Diodora_spreta	Mollusca	No	NA
Ourozeuktes_bopyroides	Arthropoda	No	NA
Heteronardoa_carinata	EchiNodermata	No	NA
Cyclosalpa_pinnata	Chordata	No	1775
Cerithium_dialeucum	Mollusca	No	NA
Amphiophiura_laudata	EchiNodermata	No	NA
Metapenaeopsis_distincta	Arthropoda	No	NA
Hexaplax_megalops	Arthropoda	No	1904
Pisinna_circumlabra	Mollusca	No	NA
Pasiphaea_marisrubri	Arthropoda	No	1989
Sesarmoides_borneensis	Arthropoda	No	NA
Macrocypris_minna	Arthropoda	No	1850
Platymaia_fimbriata	Arthropoda	No	1916
Ampithoe_katae	Arthropoda	No	2007
Saxidomus_gigantea	Mollusca	No	NA
Bolbolaimus_riemanni	Nematoda	No	NA
Cistina_columbiae	EchiNodermata	No	1840
Aspidodiadema_tonsum	EchiNodermata	No	1879
Scalicus_orientalis	Chordata	No	NA
Latimeria_chalumnae	Chordata	No	NA
Lendenfeldia_plicata	Porifera	No	NA
Stelletta_splendens	Porifera	No	1965
Antennatus_tuberosus	Chordata	No	NA
Citharoides_macrolepidotus	Chordata	No	NA
Dorvillea_largidentis	Annelida	No	NA
Ethusa_izuensis	Arthropoda	No	1937
Phos_Nodicostatus	Mollusca	No	NA
Paracalliope_lowryi	Arthropoda	No	NA
Crepidula_porcellana	Mollusca	No	1801
Levinsenia_uncinata	Annelida	No	NA
Pentamera_calcigera	EchiNodermata	No	1851
PrioNospio_multicristata	Annelida	No	1979
Grypachaeus_hyalinus	Arthropoda	No	NA
Potamalosa_richmondia	Chordata	No	NA
Ophiomitra_leucorhabdota	EchiNodermata	No	NA
Lycenchelys_hureaui	Chordata	No	NA
Atherinella_pachylepis	Chordata	No	NA
Munidopsis_subsquamosa	Arthropoda	No	1885
Solen_rostriformis	Mollusca	No	NA
Lubbockia_aculeata	Arthropoda	No	NA
Chelonaplysilla_violacea	Porifera	No	NA
Labracinus_melaNotaenia	Chordata	No	NA
Evorthodus_minutus	Chordata	No	NA
Dorometra_nana	EchiNodermata	No	NA
Aulosaccus_schulzei	Porifera	No	1896
Paralonchurus_dumerilii	Chordata	No	NA
Mirandotanais_vorax	Arthropoda	No	1974
Glycymeris_conNollyi	Mollusca	No	1926
Elofsonella_neoconcinna	Arthropoda	No	NA
HalichoaNolaimus_robustus	Nematoda	No	NA
Muricopsis_cristata	Mollusca	No	NA
Pluvialis_apricaria	Chordata	No	NA
DuncaNopsammia_axifuga	Cnidaria	No	1848
Paraxanthias_Notatus	Arthropoda	No	NA
Metaproto_Novaehollandiae	Arthropoda	No	NA
Elacatinus_digueti	Chordata	No	NA
Tricoma_brevirostris	Nematoda	No	NA
Haliclona_(Rhizoniera)_dancoi	Porifera	No	NA
Symplegma_rubra	Chordata	No	1972
Ophiopsammus_assimilis	EchiNodermata	No	NA
Diodora_elevata	Mollusca	No	NA
Uropterygius_marmoratus	Chordata	No	NA
Paelopatides_gigantea	EchiNodermata	No	NA
Aulactinia_stella	Cnidaria	No	NA
Hemiramphus_robustus	Chordata	No	NA
Sertularia_similis	Cnidaria	No	1877
Comesa_cuanensis	Nematoda	No	NA
Corallistes_typus	Porifera	No	1870
Nereis_sandersi	Annelida	No	1985
Scuticella_plagiostoma	Bryozoa	No	NA
Uroptychus_concolor	Arthropoda	No	NA
Bathygadus_spongiceps	Chordata	No	NA
Laonice_branchiata	Annelida	No	1986
Chelon_saliens	Chordata	No	NA
Nudechinus_scotiopremnus	EchiNodermata	No	1912
Diodon_eydouxii	Chordata	No	NA
Colomastix_bousfieldi	Arthropoda	No	1995
Condylocardia_rectangularis	Mollusca	No	NA
Bryozoichthys_marjorius	Chordata	No	NA
Pavoraja_alleni	Chordata	No	NA
Modelia_graNosa	Mollusca	No	NA
Lophodiodon_calori	Chordata	No	NA
ThiNora_maldivensis	Arthropoda	No	1915
Kentrocapros_flavofasciatus	Chordata	No	NA
Sepiella_ornata	Mollusca	No	1837
Odontostomias_micropogon	Chordata	No	NA
Labraxeudes_heliodiscus	Arthropoda	No	2007
CyNoglossus_macrophthalmus	Chordata	No	NA
Neosebastes_occidentalis	Chordata	No	2004
